Date,"Roy Phillipps","Macrotarsomys petteri","The Last of Us","Sweet Track","OK Computer","Upper Pine Bottom State Park","1954 Guatemalan coup d'état","Auriscalpium vulgare","Melbourne Castle"
2016-05-21,10,10,6134,100,2470,16,586,24,22
2016-05-22,8,5,7506,99,2141,7,639,12,17
2016-05-23,10,12,6783,123,1983,17,805,21,13
2016-05-24,9,8,6215,139,2393,13,791,22,11
2016-05-25,9,15,5869,101,2167,17,764,23,22
2016-05-26,11,18,5829,132,1938,16,707,32,25
2016-05-27,5,7,5110,94,1970,9,544,16,7
2016-05-28,8,8,4952,92,1654,10,300,14,11
2016-05-29,8,6,5439,91,1576,13,428,13,17
2016-05-30,18,12,5685,151,1575,13,521,29,17
2016-05-31,10,6,5368,109,1576,12,753,24,13
2016-06-01,14,7,4899,126,1550,16,695,17,15
2016-06-02,13,16,4987,121,1434,13,590,26,19
2016-06-03,18,8,4353,112,1520,11,558,18,21
2016-06-04,9,10,4593,103,1432,9,364,15,13
2016-06-05,8,11,5053,93,1433,13,1562,21,13
2016-06-06,6,8,5048,108,1385,11,623,21,9
2016-06-07,10,11,6322,99,1436,17,557,16,12
2016-06-08,11,7,5187,82,1333,8,603,9,14
2016-06-09,3,8,4708,89,1398,7,537,10,10
2016-06-10,3,7,4664,77,1445,7,469,10,13
2016-06-11,9,7,4510,67,1334,10,272,12,19
2016-06-12,7,5,5081,85,1218,8,419,12,10
2016-06-13,10,20,5049,92,1259,15,460,19,23
2016-06-14,16,14,6972,88,1285,18,487,20,21
2016-06-15,12,16,5672,94,1251,15,352,17,15
2016-06-16,11,14,5286,98,1488,23,390,18,16
2016-06-17,9,14,5126,61,1417,16,301,12,15
2016-06-18,15,17,5089,75,1438,14,275,21,20
2016-06-19,11,13,6026,87,1461,15,300,22,25
2016-06-20,7,8,5235,85,1329,12,340,15,9
2016-06-21,12,11,5414,111,1341,12,349,15,16
2016-06-22,3,4,5364,76,1277,7,342,6,7
2016-06-23,7,5,5049,75,1255,6,399,7,14
2016-06-24,9,8,4452,62,1083,12,298,8,7
2016-06-25,8,11,4527,71,1093,15,335,12,11
2016-06-26,6,5,4951,94,1178,9,307,9,3
2016-06-27,10,10,4806,95,1153,20,423,20,23
2016-06-28,9,4,4629,81,1216,12,418,14,62
2016-06-29,8,8,4580,117,1249,15,408,13,21
