Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2015-12-10,2716,16,19,24,375,10496,71,330,2
2015-12-11,2836,19,19,15,375,12220,80,407,7
2015-12-12,3151,23,41,23,375,12402,63,342,3
2015-12-13,3297,15,20,25,420,12176,68,351,9
2015-12-14,2924,11,19,21,371,11115,82,361,10
2015-12-15,2930,18,24,26,373,10012,78,351,11
2015-12-16,3253,55,23,23,335,9066,65,326,9
2015-12-17,3053,22,15,17,371,9317,52,330,2
2015-12-18,3380,16,21,12,299,8971,56,351,3
2015-12-19,3574,19,10,20,300,10646,51,368,5
2015-12-20,3779,11,7,11,277,11910,54,301,4
2015-12-21,3851,12,6,15,328,10978,51,530,3
2015-12-22,3386,7,7,18,284,10070,73,477,9
2015-12-23,7328,12,16,13,334,10282,67,321,7
2015-12-24,4315,19,7,17,290,10309,39,362,6
2015-12-25,13411,14,10,15,299,9331,36,278,3
2015-12-26,5776,16,16,20,368,12180,74,322,3
2015-12-27,4745,10,8,30,346,15079,76,345,3
2015-12-28,3592,6,7,18,320,13777,73,378,4
2015-12-29,3819,8,12,34,314,12303,66,397,6
2015-12-30,4015,8,13,24,400,12858,80,408,8
2015-12-31,7116,13,18,30,293,12273,68,389,7
2016-01-01,5211,11,18,27,352,13467,58,298,8
2016-01-02,4277,11,14,18,353,15237,102,335,3
2016-01-03,4471,22,18,24,339,14096,82,364,4
2016-01-04,3456,17,18,20,411,15617,85,412,14
2016-01-05,3158,14,12,29,416,12310,60,398,4
2016-01-06,3317,10,20,25,446,10450,69,419,13
2016-01-07,2899,15,10,24,403,10056,72,418,5
2016-01-08,2832,12,14,31,462,10148,96,369,5
2016-01-09,3621,10,46,20,470,12398,62,364,6
2016-01-10,4046,18,17,26,474,16628,80,320,2
2016-01-11,3299,8,44,43,485,24863,66,341,9
2016-01-12,2663,9,13,28,450,16878,70,326,5
2016-01-13,2504,11,13,19,461,12518,82,390,3
2016-01-14,2652,6,19,26,444,12491,69,351,5
2016-01-15,2567,16,24,30,387,13247,83,424,3
2016-01-16,2842,21,15,27,484,18064,68,418,7
2016-01-17,3161,10,15,25,382,19071,74,372,2
2016-01-18,3001,17,30,27,396,13470,266,416,9
2016-01-19,2418,8,9,31,411,12682,105,410,15
2016-01-20,2342,10,21,28,456,15320,77,386,10
2016-01-21,2272,13,23,38,406,14950,87,388,6
2016-01-22,2600,7,12,23,401,13179,62,356,5
2016-01-23,3270,14,19,23,375,15981,98,425,4
2016-01-24,3102,8,28,23,500,16835,89,391,2
2016-01-25,2696,20,43,22,611,17330,98,342,2
2016-01-26,2473,11,38,18,426,12486,71,375,7
2016-01-27,2630,10,22,24,533,10978,99,396,5
2016-01-28,2629,15,14,28,478,10887,75,431,9
2016-01-29,2516,6,21,22,426,11359,90,459,11
2016-01-30,2564,11,20,38,407,12926,69,395,8
2016-01-31,3510,9,20,21,417,17632,81,398,8
2016-02-01,2760,12,18,27,518,16816,78,446,6
