Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2015-12-25,151,26,3447,190,4877,52,994,0,1843
2015-12-26,147,39,2001,183,7922,76,1244,0,2067
2015-12-27,150,42,1940,217,6174,51,1232,0,3921
2015-12-28,186,51,1648,209,6511,62,1293,0,2506
2015-12-29,218,55,1573,206,6553,74,1249,0,3129
2015-12-30,191,34,2935,196,6154,63,1159,0,2465
2015-12-31,147,46,1879,201,5623,53,1058,0,2009
2016-01-01,163,46,1906,200,7556,48,1176,0,2211
2016-01-02,184,47,2324,250,9049,58,1355,0,2867
2016-01-03,206,38,2725,277,7724,66,1376,0,2721
2016-01-04,193,52,2220,264,6657,110,1340,0,2262
2016-01-05,208,57,1951,253,6971,52,1214,0,2318
2016-01-06,191,259,2229,226,6079,61,1209,0,2213
2016-01-07,191,52,1862,228,6950,78,1009,0,1961
2016-01-08,168,558,2142,245,11895,190,1141,0,1875
2016-01-09,164,76,2799,219,9435,173,1202,0,1959
2016-01-10,170,89,2477,245,9863,134,1273,0,1919
2016-01-11,189,53,2807,225,8529,192,1180,0,1862
2016-01-12,185,44,3014,234,5786,71,1064,0,1723
2016-01-13,157,62,2411,262,5473,81,1013,0,1750
2016-01-14,205,33,3996,218,6792,75,1014,0,1711
2016-01-15,166,50,3036,207,5171,82,974,0,1605
2016-01-16,167,55,2747,230,5278,97,1086,0,1649
2016-01-17,177,51,3119,208,6854,84,1092,0,1892
2016-01-18,181,55,2749,240,6449,65,1034,0,1823
2016-01-19,195,48,3625,247,5360,172,929,0,1795
2016-01-20,195,53,3110,182,5123,178,969,0,1743
2016-01-21,163,64,2221,246,4686,186,965,0,1713
2016-01-22,207,43,1719,217,4927,188,904,0,1783
2016-01-23,184,440,1867,218,5210,188,973,0,1863
2016-01-24,195,93,1994,272,5633,180,1151,0,2117
2016-01-25,199,59,1723,241,6837,194,997,0,1986
2016-01-26,218,62,1710,234,9541,185,964,0,1849
2016-01-27,190,68,1655,239,6347,173,861,0,1952
2016-01-28,193,90,1380,220,5318,208,879,0,1804
2016-01-29,174,94,1442,228,4608,173,884,0,2397
2016-01-30,148,98,1683,225,5359,180,1024,0,3012
2016-01-31,173,54,1749,203,5997,200,1012,0,2490
2016-02-01,203,73,1872,246,5499,68,991,0,2206
2016-02-02,194,73,1377,227,4680,59,866,0,1764
2016-02-03,187,78,2203,241,4638,70,899,0,1757
2016-02-04,182,40,4052,209,4428,53,945,0,1877
2016-02-05,183,45,1615,233,4505,63,911,0,1752
2016-02-06,170,56,1651,271,4606,61,1001,0,1767
2016-02-07,158,65,1759,282,5167,62,1046,0,1896
2016-02-08,187,58,1581,305,4398,67,932,0,1734
2016-02-09,190,50,2139,218,4395,74,863,0,1685
2016-02-10,195,50,1560,281,4206,60,857,0,1682
2016-02-11,189,45,1489,258,4069,66,943,0,1732
2016-02-12,162,50,2028,205,4024,61,948,0,1747
2016-02-13,156,51,1690,208,4452,77,1108,0,1689
2016-02-14,170,46,1667,235,5383,62,999,0,1871
2016-02-15,192,55,2167,283,6146,80,937,0,1943
2016-02-16,216,61,1807,252,4605,54,922,0,1949
2016-02-17,179,153,1529,258,4388,64,885,0,2078
2016-02-18,198,54,1621,269,6176,66,877,0,3039
2016-02-19,226,130,1784,238,8899,64,959,0,2062
2016-02-20,191,136,1934,251,5990,61,899,0,2217
2016-02-21,185,152,2163,221,6003,66,1012,0,2482
2016-02-22,204,122,1846,290,5439,60,978,0,2027
2016-02-23,187,69,1457,255,4628,58,908,0,2084
2016-02-24,190,60,1360,232,4485,42,940,0,2209
2016-02-25,188,50,2071,267,4854,56,937,0,1998
2016-02-26,194,150,2067,251,4210,99,1023,0,1816
2016-02-27,169,88,1913,214,5206,52,938,0,1815
2016-02-28,154,69,2104,257,5090,56,1028,0,1928
2016-02-29,216,65,1982,252,5480,66,907,0,1905
2016-03-01,237,57,1551,270,4730,50,885,0,1819
2016-03-02,160,57,1810,249,5679,48,841,0,1782
2016-03-03,235,56,1539,258,6044,34,886,0,1749
2016-03-04,267,40,1485,250,6372,45,888,0,1713
2016-03-05,220,60,1529,223,7576,58,944,0,1772
2016-03-06,190,62,1885,265,9127,57,1013,0,2034
2016-03-07,230,41,1857,276,9102,56,1006,0,2012
2016-03-08,216,33,1487,242,8827,47,905,0,1962
2016-03-09,263,34,1419,217,7661,59,1313,0,2131
2016-03-10,200,53,1558,249,7648,54,912,0,2026
2016-03-11,163,58,1592,219,7115,54,975,0,1875
2016-03-12,151,55,1482,218,8162,42,1016,0,1751
2016-03-13,176,42,1717,205,9584,47,1116,0,1939
2016-03-14,180,53,2513,246,7945,66,926,0,2125
2016-03-15,261,77,1676,251,6825,71,909,0,2346
2016-03-16,225,42,1426,223,6904,79,852,0,1806
2016-03-17,196,52,1411,206,5813,55,856,0,1935
2016-03-18,160,303,1356,219,5534,60,889,0,2318
2016-03-19,178,69,1705,201,6320,44,838,0,1720
2016-03-20,192,70,2274,194,7045,61,1037,0,1885
2016-03-21,214,54,1958,294,6380,51,941,0,1806
2016-03-22,165,44,1648,279,5575,50,888,0,1723
