Date,"Noel Park","Margaret Lea Houston","Everglades National Park","Fez (video game)","Crucifix (Cimabue, Santa Croce)","Me and Juliet","King Kalākaua's world tour","Villa Park","Sino-Roman relations"
2016-02-01,29,46,502,682,68,46,0,249,369
2016-02-02,26,93,480,696,37,62,0,296,312
2016-02-03,24,41,489,1050,33,54,0,277,254
2016-02-04,21,29,550,989,38,45,0,249,337
2016-02-05,20,44,485,753,19,38,0,234,293
2016-02-06,25,19,309,598,20,40,0,625,276
2016-02-07,33,28,483,704,93,54,0,467,335
2016-02-08,28,25,505,653,40,33,0,282,357
2016-02-09,23,32,511,660,54,38,0,300,371
2016-02-10,23,45,530,649,48,61,0,281,370
2016-02-11,12,30,473,589,43,41,0,241,376
2016-02-12,31,24,424,663,45,42,0,263,353
2016-02-13,21,33,385,691,26,36,0,337,374
2016-02-14,14,19,381,685,32,30,0,1403,616
2016-02-15,25,49,413,706,50,38,0,495,440
2016-02-16,19,27,538,625,31,49,0,325,654
2016-02-17,23,41,490,578,34,37,0,280,360
2016-02-18,14,20,488,600,35,40,0,243,341
2016-02-19,24,38,472,561,15,50,0,268,298
2016-02-20,17,24,365,498,32,33,0,352,328
2016-02-21,31,32,424,638,34,34,0,278,356
2016-02-22,20,41,501,605,57,40,0,268,362
2016-02-23,24,39,545,570,44,42,0,251,361
2016-02-24,20,47,559,516,42,45,0,230,347
2016-02-25,21,28,469,493,47,57,0,248,417
2016-02-26,21,33,456,523,18,52,0,220,326
2016-02-27,19,37,478,501,31,46,0,284,284
2016-02-28,25,27,661,582,39,38,0,312,314
2016-02-29,28,54,591,573,54,49,0,262,325
2016-03-01,27,52,488,497,39,49,0,479,275
2016-03-02,22,105,520,534,40,51,0,410,289
2016-03-03,31,54,570,534,60,42,0,295,316
2016-03-04,25,35,428,526,46,37,0,202,243
2016-03-05,25,27,355,488,29,32,0,427,274
2016-03-06,20,26,382,538,45,33,0,361,508
2016-03-07,16,30,531,542,34,37,0,287,415
2016-03-08,47,48,596,1093,51,39,0,248,373
2016-03-09,35,104,551,807,33,40,0,418,352
2016-03-10,19,48,558,560,41,66,0,261,311
2016-03-11,18,75,490,513,40,35,0,322,280
2016-03-12,16,45,333,523,23,29,0,315,260
2016-03-13,18,30,389,595,52,29,0,896,358
2016-03-14,28,38,551,589,51,22,0,438,294
2016-03-15,26,40,562,540,45,45,0,325,304
2016-03-16,20,37,494,537,37,43,0,328,379
2016-03-17,19,18,486,482,36,46,0,229,458
2016-03-18,16,50,411,466,24,24,0,210,356
2016-03-19,22,47,755,520,26,39,0,358,295
2016-03-20,18,85,2448,544,35,40,0,361,370
2016-03-21,24,31,1058,591,44,48,0,279,355
2016-03-22,22,23,690,520,29,46,0,214,372
2016-03-23,18,64,643,536,35,46,0,236,337
2016-03-24,15,22,499,492,18,39,0,197,251
2016-03-25,27,55,485,506,36,30,0,186,282
2016-03-26,17,77,506,472,36,26,0,179,321
2016-03-27,18,37,1205,485,35,32,0,180,305
2016-03-28,13,45,946,565,33,37,0,173,430
2016-03-29,11,29,770,505,30,29,0,249,280
2016-03-30,25,31,710,484,43,49,0,292,313
2016-03-31,20,71,569,524,28,52,0,220,443
2016-04-01,24,64,513,529,24,37,0,242,288
2016-04-02,30,79,425,487,17,27,0,1731,261
2016-04-03,23,124,500,588,97,34,0,881,286
2016-04-04,19,223,588,550,63,46,0,340,322
2016-04-05,21,77,581,594,47,43,0,273,328
2016-04-06,24,166,554,505,27,56,0,282,309
2016-04-07,10,189,613,476,21,46,0,285,312
2016-04-08,23,111,453,498,36,54,0,243,303
2016-04-09,31,112,345,529,75,34,0,553,335
2016-04-10,32,112,473,512,46,30,0,587,320
2016-04-11,20,118,495,581,54,44,0,357,355
2016-04-12,22,60,594,514,67,40,0,320,268
2016-04-13,22,152,534,560,25,35,0,364,285
2016-04-14,39,84,536,520,33,54,0,308,260
2016-04-15,21,41,470,483,29,43,0,316,262
2016-04-16,21,32,332,455,31,43,0,928,238
2016-04-17,33,24,411,484,47,51,0,763,311
2016-04-18,29,52,590,493,45,38,0,577,299
2016-04-19,11,28,574,512,46,50,0,610,427
2016-04-20,19,32,572,436,43,38,0,454,328
2016-04-21,26,160,547,474,32,35,0,392,324
2016-04-22,30,44,1027,462,50,48,0,376,302
2016-04-23,15,37,801,478,37,35,0,693,255
2016-04-24,31,90,607,518,41,42,0,528,296
2016-04-25,18,40,567,528,53,42,0,401,291
2016-04-26,24,33,571,472,34,47,0,437,260
2016-04-27,14,27,708,505,58,44,0,376,238
2016-04-28,22,20,638,422,56,39,0,288,290
2016-04-29,18,33,492,440,59,49,0,306,313
2016-04-30,20,17,595,603,47,31,0,324,261
2016-05-01,14,52,501,523,40,34,0,397,298
2016-05-02,22,74,597,513,65,40,0,428,319
2016-05-03,18,93,626,558,54,42,0,530,291
2016-05-04,27,65,641,435,54,38,0,374,319
2016-05-05,18,20,574,443,40,35,0,349,340
2016-05-06,25,64,437,443,54,23,0,337,262
2016-05-07,21,23,296,421,38,44,0,705,233
2016-05-08,19,28,399,501,62,27,0,499,279
2016-05-09,18,37,617,526,37,22,0,453,284
2016-05-10,24,29,553,459,55,41,0,748,354
2016-05-11,27,29,542,464,57,42,0,602,317
2016-05-12,18,28,601,431,39,62,0,418,287
2016-05-13,25,39,484,393,32,22,0,373,599
2016-05-14,24,18,325,453,40,41,0,344,451
2016-05-15,19,38,429,509,50,33,0,470,354
2016-05-16,22,32,634,562,41,38,0,381,404
2016-05-17,15,47,639,482,49,46,0,335,354
2016-05-18,14,42,596,486,25,31,0,691,330
2016-05-19,20,28,557,456,54,41,0,686,302
2016-05-20,10,32,553,448,40,38,0,398,446
2016-05-21,24,17,553,447,17,32,0,498,448
2016-05-22,30,30,467,579,33,33,0,390,477
2016-05-23,21,42,550,522,38,39,0,318,529
2016-05-24,25,42,590,528,34,35,0,246,445
2016-05-25,22,30,608,457,52,32,0,261,360
2016-05-26,35,30,648,435,60,42,0,251,327
2016-05-27,14,28,419,461,41,28,0,275,376
2016-05-28,18,28,321,414,24,33,0,291,367
2016-05-29,14,16,407,464,28,33,0,227,338
2016-05-30,22,29,433,535,33,33,0,227,375
2016-05-31,18,82,571,564,26,32,0,218,373
2016-06-01,26,60,485,559,33,39,0,253,314
2016-06-02,36,36,480,552,26,43,0,252,317
2016-06-03,19,40,473,479,30,35,0,216,272
2016-06-04,27,94,278,500,29,29,0,226,373
2016-06-05,16,46,342,553,22,55,0,201,415
2016-06-06,23,23,415,627,29,27,0,193,328
