Date,"Hope (painting)","Impala","Muhammad ibn Tughj al-Ikhshid","Lockheed C-130 Hercules in Australian service","Jochen Rindt","In Our Time (short story collection)","She Shoulda Said No!","Ferugliotheriidae","New wave of British heavy metal"
2016-12-23,64,556,18,20,293,73,37,9,407
2016-12-24,57,520,16,11,297,68,43,5,309
2016-12-25,53,534,10,22,262,65,41,10,376
2016-12-26,74,499,10,207,275,564,261,76,330
2016-12-27,74,608,217,16,327,64,31,10,363
2016-12-28,50,577,15,24,292,60,27,10,441
2016-12-29,64,571,13,22,1744,102,38,12,398
2016-12-30,91,595,7,15,2049,67,34,8,382
2016-12-31,98,573,5,7,713,60,48,8,326
2017-01-01,123,548,23,24,943,73,34,5,323
2017-01-02,89,652,18,13,1083,93,37,7,462
2017-01-03,96,634,9,15,1036,109,47,9,465
2017-01-04,97,659,12,26,537,115,34,10,400
2017-01-05,81,675,12,26,573,103,37,20,484
2017-01-06,79,623,22,21,388,84,46,10,408
2017-01-07,80,588,8,22,316,65,44,9,470
2017-01-08,98,631,15,19,364,95,39,10,427
2017-01-09,87,612,58,9,371,193,42,4,474
2017-01-10,93,670,28,21,338,163,37,10,447
2017-01-11,95,625,24,16,299,143,40,9,450
2017-01-12,83,611,22,20,302,153,27,12,465
2017-01-13,87,633,15,14,305,109,74,24,453
2017-01-14,67,594,17,13,258,75,54,15,488
2017-01-15,89,651,14,28,274,98,48,13,461
2017-01-16,95,678,34,18,307,115,48,22,431
2017-01-17,109,664,52,43,312,151,55,20,471
2017-01-18,336,649,19,51,277,137,41,6,533
2017-01-19,38517,755,39,60,287,187,59,19,486
2017-01-20,8441,27335,90,43,257,116,41,14,448
2017-01-21,4456,5848,22609,125,255,81,48,14,411
2017-01-22,3035,3579,6961,36512,494,107,37,17,415
2017-01-23,1052,3529,5578,8789,64551,287,49,40,501
2017-01-24,662,1089,3551,6115,8700,24970,307,17,505
2017-01-25,501,858,447,4851,3428,5110,69590,150,499
2017-01-26,385,770,291,564,2165,3101,10898,39284,634
2017-01-27,358,847,198,366,673,1974,5767,4776,49106
2017-01-28,322,676,219,292,562,388,3301,2360,7997
2017-01-29,348,690,149,226,482,277,872,1576,5391
2017-01-30,262,788,148,172,408,290,589,318,4120
2017-01-31,248,754,95,152,394,257,482,211,1075
2017-02-01,225,746,102,138,367,278,418,186,772
2017-02-02,191,735,83,99,356,225,285,157,654
2017-02-03,131,706,82,122,343,189,218,134,598
2017-02-04,156,664,79,98,297,145,239,118,615
2017-02-05,182,697,67,96,337,197,182,87,565
2017-02-06,142,705,72,74,247,211,162,93,517
2017-02-07,145,806,54,89,234,252,158,75,466
2017-02-08,148,778,91,63,270,270,123,67,485
2017-02-09,163,606,51,85,203,232,115,42,487
2017-02-10,136,594,58,75,277,165,88,44,516
2017-02-11,127,624,42,45,265,163,97,47,440
2017-02-12,150,1042,45,56,245,164,98,29,439
2017-02-13,416,1146,45,54,251,186,107,29,452
2017-02-14,160,842,38,44,412,158,113,30,442
2017-02-15,122,805,44,54,187,159,94,32,452
2017-02-16,110,823,57,48,212,173,75,37,432
2017-02-17,85,697,48,48,252,141,211,21,457
2017-02-18,108,675,41,47,192,152,76,26,459
2017-02-19,125,680,24,38,236,159,87,20,463
2017-02-20,175,730,23,51,228,188,315,22,467
2017-02-21,106,782,33,33,204,179,402,16,443
2017-02-22,125,735,30,34,253,182,429,26,431
2017-02-23,138,660,25,49,210,142,439,25,476
2017-02-24,74,638,29,35,210,156,64,16,469
2017-02-25,105,675,30,27,179,125,46,19,408
2017-02-26,175,694,44,47,228,155,83,22,487
2017-02-27,124,756,26,38,184,190,70,19,483
2017-02-28,135,691,29,44,205,207,64,40,444
2017-03-01,129,696,24,44,160,233,57,30,736
2017-03-02,110,615,15,52,201,149,41,13,423
2017-03-03,100,683,20,38,169,164,57,13,439
2017-03-04,114,657,17,46,190,129,47,16,455
2017-03-05,380,673,17,43,237,148,45,14,397
2017-03-06,477,772,12,82,215,178,120,12,443
2017-03-07,254,1046,18,54,177,187,65,15,450
2017-03-08,223,781,22,41,173,163,62,20,501
2017-03-09,168,713,25,29,209,163,48,18,471
2017-03-10,227,763,35,35,409,181,63,21,506
2017-03-11,179,629,23,33,393,167,57,20,430
2017-03-12,191,730,35,31,316,168,59,18,456
2017-03-13,176,796,27,49,264,164,52,18,392
2017-03-14,188,759,29,40,246,147,50,26,449
2017-03-15,170,733,13,40,240,1023,39,36,477
2017-03-16,101,750,20,25,193,150,49,12,448
2017-03-17,108,686,15,35,208,126,55,7,464
2017-03-18,108,594,18,26,222,105,53,18,448
2017-03-19,131,695,14,31,308,139,66,19,521
2017-03-20,151,645,26,21,263,163,43,11,421
2017-03-21,124,663,23,29,255,182,61,16,500
2017-03-22,121,729,20,27,208,144,37,19,507
2017-03-23,144,691,30,38,211,171,49,27,472
2017-03-24,117,615,15,37,230,135,39,24,470
2017-03-25,98,621,30,29,309,115,56,20,410
2017-03-26,113,659,13,37,1026,165,40,7,446
2017-03-27,92,679,13,32,399,186,43,12,438
2017-03-28,106,679,11,41,236,195,42,9,459
2017-03-29,82,611,12,33,275,189,59,12,457
2017-03-30,99,616,18,32,234,173,40,16,473
2017-03-31,138,551,21,25,195,117,38,11,479
2017-04-01,108,570,28,26,197,109,63,18,447
2017-04-02,108,597,24,40,230,125,52,24,472
2017-04-03,113,674,15,21,213,124,56,8,441
2017-04-04,100,595,16,27,210,136,27,5,432
2017-04-05,97,595,18,12,187,142,35,9,404
2017-04-06,177,596,12,19,242,156,41,14,450
2017-04-07,119,664,17,15,225,116,52,11,468
2017-04-08,118,543,17,25,212,110,39,15,420
2017-04-09,978,558,16,27,288,120,40,18,429
2017-04-10,467,721,24,28,196,155,49,21,475
2017-04-11,209,598,20,33,209,141,44,15,475
2017-04-12,145,578,22,32,341,159,53,42,438
2017-04-13,150,574,18,29,286,137,38,11,488
2017-04-14,136,586,17,33,316,109,26,14,505
2017-04-15,128,557,12,19,325,102,47,21,445
2017-04-16,164,801,30,22,412,118,62,10,432
2017-04-17,146,675,20,16,362,166,39,9,432
2017-04-18,115,623,20,24,794,151,60,13,457
2017-04-19,103,636,14,28,400,119,66,36,452
2017-04-20,97,2265,17,33,306,115,87,29,457
2017-04-21,86,1213,19,25,261,125,59,24,476
2017-04-22,113,616,34,28,226,116,52,38,456
2017-04-23,114,618,21,23,228,143,50,13,428
2017-04-24,118,688,18,29,251,141,43,14,469
2017-04-25,119,676,18,49,234,130,32,17,450
2017-04-26,95,600,11,25,211,125,38,16,446
2017-04-27,104,654,21,46,226,165,33,25,475
2017-04-28,77,618,11,24,211,145,32,13,464
2017-04-29,69,546,13,23,240,111,31,23,340
2017-04-30,92,629,11,18,443,122,32,26,389
2017-05-01,83,642,17,23,454,159,34,11,410
2017-05-02,96,627,27,32,281,151,38,19,416
2017-05-03,128,605,23,29,282,176,48,17,424
2017-05-04,93,643,17,29,278,133,24,20,436
2017-05-05,72,600,12,25,247,118,35,18,505
2017-05-06,68,536,17,24,244,102,33,14,413
2017-05-07,98,577,15,26,239,112,51,5,427
2017-05-08,95,686,15,32,263,133,34,17,479
2017-05-09,79,621,9,32,292,134,34,7,472
2017-05-10,76,619,8,22,236,139,32,10,435
2017-05-11,88,617,21,28,207,147,30,45,450
2017-05-12,104,580,11,26,232,90,35,27,476
2017-05-13,98,510,17,18,260,83,36,30,373
2017-05-14,117,549,12,21,326,123,32,10,375
2017-05-15,109,647,18,26,257,144,41,25,444
2017-05-16,100,613,15,27,247,142,26,11,425
2017-05-17,103,668,22,25,232,119,36,16,451
2017-05-18,95,601,23,30,231,101,35,11,386
2017-05-19,96,555,22,24,277,124,35,17,417
2017-05-20,130,512,21,24,249,100,31,15,376
2017-05-21,135,513,22,29,559,106,37,13,373
2017-05-22,83,622,18,26,368,115,28,15,414
2017-05-23,96,600,17,25,326,112,48,19,478
2017-05-24,107,658,12,20,326,106,31,5,427
2017-05-25,78,549,15,21,280,106,27,14,427
2017-05-26,94,486,13,22,260,96,48,14,415
2017-05-27,66,451,10,21,374,84,35,10,368
2017-05-28,88,580,11,16,878,101,43,12,361
2017-05-29,68,602,15,22,382,151,32,7,376
2017-05-30,70,671,35,22,375,132,39,13,454
2017-05-31,90,704,23,32,286,120,37,9,368
2017-06-01,89,546,51,25,271,124,29,14,395
2017-06-02,96,570,18,24,272,84,37,7,365
2017-06-03,71,509,5,17,272,90,40,8,344
2017-06-04,77,490,7,15,248,79,41,13,367
2017-06-05,74,576,14,20,267,94,29,8,448
2017-06-06,88,546,18,26,255,103,42,17,385
2017-06-07,107,576,17,32,233,108,35,15,431
2017-06-08,71,538,14,27,215,96,36,12,337
2017-06-09,73,520,16,15,183,99,32,12,334
2017-06-10,62,482,11,13,238,76,29,14,366
2017-06-11,83,537,12,15,433,82,50,8,339
2017-06-12,77,486,11,21,777,122,45,11,387
2017-06-13,91,573,17,26,355,119,46,24,399
2017-06-14,97,579,19,29,300,100,29,14,378
2017-06-15,83,557,15,21,352,85,30,14,404
2017-06-16,70,524,7,23,251,97,30,4,400
2017-06-17,94,462,16,22,333,72,43,15,358
2017-06-18,123,581,13,21,353,88,56,11,383
2017-06-19,92,559,12,23,260,88,42,10,393
2017-06-20,97,486,8,28,225,82,25,9,405
2017-06-21,70,475,5,26,223,107,35,4,438
2017-06-22,84,495,18,29,268,94,52,18,400
2017-06-23,77,444,17,32,229,67,32,12,425
2017-06-24,100,470,9,22,286,75,24,5,391
2017-06-25,59,509,14,19,364,75,43,8,391
2017-06-26,76,738,10,23,336,93,41,13,420
2017-06-27,77,474,5,24,381,113,35,8,398
2017-06-28,69,555,19,25,280,119,34,16,347
2017-06-29,93,437,14,36,253,83,27,14,326
2017-06-30,64,489,13,17,273,103,30,9,372
2017-07-01,62,528,17,11,284,84,27,10,354
2017-07-02,79,481,10,25,301,62,36,6,366
2017-07-03,72,462,8,29,270,110,44,7,306
2017-07-04,74,559,6,20,427,81,28,8,352
2017-07-05,89,463,15,24,429,81,30,10,335
2017-07-06,110,431,16,36,290,78,39,14,390
2017-07-07,82,454,11,17,329,68,38,14,368
2017-07-08,78,691,5,16,317,70,30,10,344
2017-07-09,98,597,13,16,636,77,32,14,338
2017-07-10,94,535,10,22,288,103,32,7,344
2017-07-11,69,545,10,43,341,120,41,12,349
2017-07-12,104,559,20,32,266,68,32,10,333
2017-07-13,76,503,9,14,231,85,33,9,388
2017-07-14,81,423,11,20,300,84,39,6,309
2017-07-15,84,463,14,35,304,75,36,16,389
2017-07-16,84,551,13,29,407,73,42,13,345
2017-07-17,99,528,7,48,296,68,36,7,386
2017-07-18,79,512,11,20,257,84,36,7,331
2017-07-19,93,531,16,26,280,106,33,10,332
2017-07-20,74,489,13,26,268,87,36,11,368
2017-07-21,94,556,13,23,272,81,44,13,347
2017-07-22,78,490,10,18,197,81,22,6,394
2017-07-23,83,613,23,20,231,92,38,26,418
2017-07-24,82,641,3518,11,210,80,29,7,377
2017-07-25,68,548,50,25,204,85,34,13,4886
2017-07-26,84,539,30,22,228,85,35,15,636
2017-07-27,84,532,22,18,248,91,30,9,498
2017-07-28,88,518,15,34,223,66,37,13,495
2017-07-29,82,510,16,15,212,60,23,5,391
2017-07-30,82,593,13,16,317,71,29,3,397
2017-07-31,73,597,14,35,253,101,32,6,411
2017-08-01,83,613,17,24,227,72,38,19,348
2017-08-02,89,520,13,34,257,92,45,12,359
2017-08-03,85,530,14,26,235,77,27,13,410
2017-08-04,96,464,21,32,196,67,43,14,436
2017-08-05,94,484,24,26,203,72,47,23,338
2017-08-06,84,547,21,17,224,77,88,13,413
2017-08-07,66,526,13,25,225,92,94,14,337
2017-08-08,83,565,21,23,206,100,43,10,370
2017-08-09,82,530,24,26,615,89,33,10,390
2017-08-10,83,555,13,24,454,90,39,10,356
2017-08-11,76,500,17,21,378,111,51,14,405
2017-08-12,79,537,12,26,250,85,34,13,319
2017-08-13,83,546,18,23,266,76,36,9,317
2017-08-14,79,530,15,30,292,107,34,13,355
2017-08-15,96,578,44,46,394,102,52,36,392
2017-08-16,85,592,15,36,285,100,38,14,354
2017-08-17,55,546,8,18,207,66,27,5,387
2017-08-18,87,506,18,24,241,87,36,14,336
2017-08-19,76,469,8,19,224,57,31,8,323
2017-08-20,81,481,16,15,548,63,37,9,310
2017-08-21,96,460,12,26,281,94,25,7,345
2017-08-22,83,539,5,23,270,69,27,7,346
2017-08-23,75,483,11,51,227,100,36,7,344
2017-08-24,111,522,17,33,246,105,31,15,388
2017-08-25,87,451,13,18,200,100,36,8,378
2017-08-26,59,478,9,16,230,87,31,5,298
2017-08-27,82,451,7,19,388,86,31,10,300
2017-08-28,61,500,8,22,319,102,43,6,352
2017-08-29,78,469,5,23,284,83,35,3,307
2017-08-30,74,506,7,26,268,125,31,8,349
2017-08-31,87,508,15,31,257,73,23,9,352
2017-09-01,82,422,8,25,233,84,35,10,350
2017-09-02,65,487,9,14,463,72,37,11,303
2017-09-03,80,488,10,23,655,84,33,20,336
2017-09-04,76,516,14,30,395,106,42,7,340
2017-09-05,76,469,10,37,5620,115,34,14,320
2017-09-06,113,447,12,34,635,85,33,11,337
2017-09-07,91,504,12,16,303,85,27,9,337
2017-09-08,90,481,12,22,215,82,27,7,336
2017-09-09,70,450,8,17,221,80,24,17,338
2017-09-10,84,468,13,26,752,102,44,13,286
2017-09-11,86,454,12,17,262,99,24,6,349
2017-09-12,58,455,6,24,198,91,46,5,326
2017-09-13,91,517,9,19,175,95,39,13,369
2017-09-14,95,495,13,28,201,102,52,17,370
2017-09-15,95,493,17,37,215,84,41,14,327
2017-09-16,65,474,12,38,337,82,85,6,316
2017-09-17,80,547,3,20,443,92,22,7,334
2017-09-18,78,617,11,28,353,104,34,9,317
2017-09-19,102,602,12,18,287,118,29,14,349
2017-09-20,94,506,12,17,245,125,34,10,349
2017-09-21,85,525,8,31,228,126,15,8,375
2017-09-22,95,514,9,22,212,128,36,13,381
2017-09-23,57,497,14,22,370,52,29,9,387
2017-09-24,121,469,14,18,402,81,23,6,345
2017-09-25,100,479,12,14,237,122,33,10,340
2017-09-26,67,509,14,17,251,118,22,8,338
2017-09-27,60,485,8,26,244,107,25,9,353
2017-09-28,80,496,11,23,263,108,23,9,357
2017-09-29,74,502,7,22,217,108,30,12,329
2017-09-30,62,456,7,30,340,58,30,6,356
2017-10-01,68,466,10,19,399,83,18,5,372
2017-10-02,102,523,14,25,339,112,35,12,326
2017-10-03,106,497,13,26,281,109,19,5,333
2017-10-04,100,468,11,28,549,111,32,9,346
2017-10-05,70,589,15,25,297,139,34,9,394
2017-10-06,74,655,16,27,306,101,30,10,377
2017-10-07,71,468,13,25,335,68,36,12,334
2017-10-08,70,493,7,15,547,83,33,8,308
2017-10-09,73,571,13,31,317,122,28,6,331
2017-10-10,55,507,5,16,237,110,25,3,348
2017-10-11,84,478,20,28,256,107,31,13,343
2017-10-12,78,506,13,24,265,127,41,8,317
2017-10-13,65,1028,11,19,229,93,35,16,328
2017-10-14,56,566,11,23,269,79,27,11,321
2017-10-15,90,529,18,39,247,82,39,15,337
2017-10-16,85,559,6,21,236,125,29,5,339
2017-10-17,100,507,20,30,252,136,37,15,390
2017-10-18,71,495,14,29,256,122,28,10,397
2017-10-19,75,491,12,30,362,97,33,15,374
2017-10-20,50,491,14,27,272,92,28,9,369
2017-10-21,84,482,25,13,345,71,42,10,304
2017-10-22,80,504,5,21,497,77,33,7,390
2017-10-23,94,491,10,25,341,124,25,8,412
2017-10-24,111,537,12,32,292,101,30,9,392
2017-10-25,100,484,12,21,245,81,32,13,396
2017-10-26,75,459,11,18,249,129,20,4,389
2017-10-27,78,557,10,18,274,97,29,8,390
2017-10-28,105,425,14,22,294,76,41,14,379
2017-10-29,88,478,11,27,888,82,43,13,362
2017-10-30,70,528,10,30,1158,103,39,42,367
2017-10-31,73,531,11,25,486,81,20,11,333
2017-11-01,63,530,17,28,345,97,32,12,388
2017-11-02,69,528,5,15,436,116,30,7,411
2017-11-03,75,460,11,12,328,95,26,9,329
2017-11-04,88,489,10,20,358,68,21,11,359
2017-11-05,63,525,18,28,318,102,30,10,374
2017-11-06,78,525,17,31,331,127,22,9,414
2017-11-07,80,536,17,24,308,94,37,12,378
2017-11-08,71,568,7,16,272,103,30,75,386
2017-11-09,84,581,11,30,314,114,37,7,409
2017-11-10,88,496,6,18,297,90,23,5,339
2017-11-11,86,504,17,18,355,70,29,14,332
2017-11-12,77,551,11,22,438,97,29,9,360
2017-11-13,123,621,17,28,639,128,37,15,422
2017-11-14,80,622,11,31,329,123,29,10,422
2017-11-15,276,526,9,30,263,156,25,5,409
2017-11-16,185,564,16,37,317,104,43,13,400
2017-11-17,128,542,21,18,222,86,25,10,388
2017-11-18,102,537,13,18,229,81,20,9,354
2017-11-19,93,570,9,15,264,102,31,8,376
2017-11-20,84,523,10,20,274,104,38,11,403
2017-11-21,94,519,12,36,520,86,30,70,408
2017-11-22,113,594,12,24,452,112,24,9,419
2017-11-23,69,492,12,36,273,100,27,8,367
2017-11-24,73,460,14,22,389,81,32,10,340
2017-11-25,96,471,14,26,332,62,27,13,347
2017-11-26,85,564,7,25,373,85,38,13,360
2017-11-27,112,544,12,38,300,134,32,13,367
2017-11-28,107,535,24,25,277,95,37,13,396
2017-11-29,111,580,7,25,528,108,24,7,379
2017-11-30,119,495,9,20,258,89,31,8,353
2017-12-01,92,477,20,24,226,107,38,69,361
2017-12-02,83,417,7,33,228,68,25,6,366
2017-12-03,145,468,7,18,313,77,19,5,341
2017-12-04,153,537,9,17,335,100,25,9,431
2017-12-05,83,531,18,18,301,98,31,10,450
2017-12-06,122,545,22,25,242,106,30,7,403
2017-12-07,90,502,22,23,216,128,22,6,353
2017-12-08,131,442,16,24,209,101,42,6,379
2017-12-09,89,464,17,22,197,100,47,11,361
2017-12-10,132,564,17,25,237,104,59,17,397
2017-12-11,112,492,20,26,201,126,53,17,360
2017-12-12,106,514,19,30,220,143,28,11,352
2017-12-13,113,582,13,25,194,87,33,14,372
2017-12-14,104,478,14,25,164,128,44,17,392
2017-12-15,137,433,18,22,202,93,35,13,365
2017-12-16,91,457,25,29,229,60,40,15,347
2017-12-17,100,424,21,22,264,84,45,35,307
2017-12-18,83,480,18,21,214,99,42,12,394
2017-12-19,122,460,22,25,307,82,39,11,394
2017-12-20,109,448,22,19,218,107,34,11,358
2017-12-21,70,499,7,10,212,83,29,6,337
2017-12-22,57,425,17,12,180,73,31,5,344
2017-12-23,53,458,13,13,174,75,37,9,330
2017-12-24,56,481,8,15,203,57,38,9,316
2017-12-25,65,467,7,17,210,65,25,7,318
2017-12-26,83,486,18,21,262,85,30,5,342
2017-12-27,80,1164,43,25,232,89,44,12,321
2017-12-28,79,3395,6,30,279,87,36,5,388
2017-12-29,65,550,19,19,251,64,23,9,352
2017-12-30,79,572,9,16,284,88,22,14,323
2017-12-31,105,494,12,27,240,52,26,8,326
2018-01-01,90,513,20,19,335,62,32,13,276
2018-01-02,95,547,15,21,216,92,40,7,341
2018-01-03,97,558,15,32,237,93,42,8,354
2018-01-04,84,580,11,15,201,125,39,8,379
2018-01-05,69,514,9,19,175,85,31,13,525
2018-01-06,89,583,20,33,200,91,45,19,448
2018-01-07,82,583,15,24,201,79,48,13,359
2018-01-08,78,681,20,17,219,114,39,5,329
2018-01-09,102,611,11,20,191,97,39,8,390
2018-01-10,77,665,8,11,195,118,44,6,368
2018-01-11,77,654,17,35,209,103,37,20,563
2018-01-12,65,513,10,13,227,99,27,6,492
2018-01-13,70,492,16,17,237,78,36,15,377
2018-01-14,99,604,18,24,195,82,76,16,405
2018-01-15,85,522,12,20,305,93,54,7,402
2018-01-16,76,558,11,19,209,93,48,11,356
2018-01-17,92,608,13,20,164,103,35,12,381
2018-01-18,81,615,11,30,208,114,66,6,404
2018-01-19,83,580,8,27,212,92,50,8,431
2018-01-20,80,593,4,15,237,66,55,7,377
2018-01-21,86,539,13,14,266,163,34,7,398
2018-01-22,90,601,7,39,212,165,37,7,415
2018-01-23,89,634,10,33,208,121,34,11,461
2018-01-24,98,592,10,19,198,133,27,8,424
2018-01-25,88,610,9,26,218,106,31,43,409
2018-01-26,76,542,14,18,188,114,26,78,445
2018-01-27,76,546,8,17,180,74,33,6,416
2018-01-28,91,576,18,24,213,130,38,6,393
2018-01-29,85,603,7,27,216,139,31,5,383
2018-01-30,73,594,6,16,196,82,43,11,428
2018-01-31,95,564,5,26,1796,142,37,12,391
2018-02-01,80,598,9,16,292,124,28,11,384
2018-02-02,78,509,13,26,242,94,31,11,388
2018-02-03,72,526,10,26,244,84,36,12,408
2018-02-04,90,551,11,19,213,82,37,5,370
2018-02-05,79,525,8,26,271,117,33,10,381
2018-02-06,110,664,19,21,187,126,33,8,372
2018-02-07,161,575,26,16,232,144,36,10,412
2018-02-08,96,573,3989,18,268,125,35,11,442
2018-02-09,85,516,77,16,208,107,43,13,372
2018-02-10,75,499,35,26,227,96,29,10,344
2018-02-11,75,566,15,14,199,104,30,9,500
2018-02-12,74,603,11,24,226,123,35,4,494
2018-02-13,91,805,25,19,255,161,22,6,421
2018-02-14,74,596,10,26,237,146,32,6,385
2018-02-15,68,571,19,21,191,108,34,13,395
2018-02-16,68,510,12,26,208,86,34,6,381
2018-02-17,82,453,13,23,196,84,32,10,396
2018-02-18,121,498,13,24,183,92,29,7,346
2018-02-19,106,569,8,20,209,127,39,54,364
2018-02-20,86,549,17,20,212,105,67,8,375
2018-02-21,97,571,15,20,230,115,51,14,376
2018-02-22,136,541,17,31,310,135,36,17,381
2018-02-23,87,500,14,22,238,93,36,12,384
2018-02-24,97,421,16,23,246,83,39,12,361
2018-02-25,117,610,24,29,274,100,56,30,406
2018-02-26,122,599,14,36,266,133,38,8,381
2018-02-27,79,603,13,37,239,117,34,9,402
2018-02-28,71,573,15,28,251,100,35,7,381
2018-03-01,73,676,12,20,217,97,39,9,391
2018-03-02,79,628,11,34,266,78,38,11,382
2018-03-03,70,518,22,29,296,84,24,8,384
2018-03-04,75,677,18,27,253,81,43,8,413
2018-03-05,105,664,8,29,240,118,34,7,363
2018-03-06,72,586,18,29,209,119,33,10,412
2018-03-07,65,617,14,30,239,98,32,7,416
2018-03-08,70,545,13,26,213,125,41,10,423
2018-03-09,93,557,16,26,219,123,34,10,416
2018-03-10,46,612,13,17,228,81,43,8,414
2018-03-11,69,564,12,14,219,76,57,5,398
2018-03-12,95,710,13,28,246,111,29,8,358
2018-03-13,100,618,8,23,239,117,23,7,400
2018-03-14,90,655,10,26,205,109,35,9,352
2018-03-15,79,623,7,18,283,105,33,1206,394
2018-03-16,142,531,8,24,214,79,36,134,413
2018-03-17,54,484,9,19,223,72,37,66,411
2018-03-18,113,534,13,20,274,99,31,33,344
2018-03-19,105,601,8,36,261,140,28,11,421
2018-03-20,73,566,9,27,376,131,32,13,362
2018-03-21,88,590,11,35,311,156,33,21,390
2018-03-22,81,628,12,34,313,126,31,32,439
2018-03-23,66,564,10,24,278,120,29,14,439
2018-03-24,80,519,9,22,338,75,26,9,366
2018-03-25,58,557,7,36,600,98,29,7,388
2018-03-26,70,602,11,28,371,128,45,12,371
2018-03-27,60,629,10,27,283,116,26,8,347
2018-03-28,65,668,11,23,283,110,31,14,397
2018-03-29,84,569,8,33,271,89,25,14,345
2018-03-30,65,713,14,32,292,95,30,9,329
2018-03-31,60,572,10,15,228,87,25,13,382
2018-04-01,77,607,12,25,247,98,32,7,377
2018-04-02,74,612,15,19,264,114,43,10,375
2018-04-03,99,612,14,27,287,134,29,12,433
2018-04-04,78,634,10,18,334,114,38,15,396
2018-04-05,65,676,18,29,239,107,48,8,390
2018-04-06,68,641,15,29,276,104,35,11,393
2018-04-07,51,594,10,20,349,61,35,7,360
2018-04-08,88,583,13,25,420,91,38,3,364
2018-04-09,89,641,13,24,409,127,35,8,394
2018-04-10,69,633,10,27,392,121,41,7,436
2018-04-11,85,596,13,20,319,119,32,7,370
2018-04-12,95,655,18,17,247,104,36,16,455
2018-04-13,55,593,6,11,268,79,21,6,426
2018-04-14,81,551,22,23,299,68,35,13,395
2018-04-15,67,617,8,21,407,105,37,14,394
2018-04-16,86,632,9,19,297,104,29,8,377
2018-04-17,90,712,18,21,312,136,44,16,407
2018-04-18,57,649,9,21,553,122,42,11,390
2018-04-19,58,575,17,19,294,120,33,9,404
2018-04-20,60,638,6,25,255,84,36,9,403
2018-04-21,272,571,8,24,221,66,32,4,351
2018-04-22,84,465,18,19,258,108,52,9,360
2018-04-23,71,593,11,26,251,126,36,6,387
2018-04-24,73,590,12,20,240,131,32,4,376
2018-04-25,70,570,12,48,252,129,28,8,409
2018-04-26,70,578,12,18,202,103,38,10,377
2018-04-27,52,499,8,22,247,108,28,4,314
2018-04-28,71,535,12,25,334,100,36,4,382
2018-04-29,77,502,13,20,393,84,41,5,368
2018-04-30,69,580,5,25,302,121,21,5,411
2018-05-01,73,610,12,28,300,123,35,6,359
2018-05-02,57,614,7,29,249,101,25,2,402
2018-05-03,64,552,20,52,253,96,46,12,379
2018-05-04,56,463,11,21,222,103,36,6,368
2018-05-05,70,504,9,25,209,91,27,5,353
2018-05-06,58,504,8,19,218,102,32,6,363
2018-05-07,81,578,9,21,229,117,39,9,401
2018-05-08,53,621,7,27,258,109,21,5,403
2018-05-09,76,541,13,25,264,119,32,4,337
2018-05-10,73,578,11,15,238,101,43,11,379
2018-05-11,58,825,9,22,210,93,20,6,360
2018-05-12,85,667,8,24,258,88,29,2,313
2018-05-13,62,668,10,33,375,106,34,8,356
2018-05-14,74,696,7,26,271,125,35,8,335
2018-05-15,75,619,13,25,229,140,27,4,314
2018-05-16,87,619,12,23,203,108,43,11,377
2018-05-17,60,584,6,13,209,121,24,5,397
2018-05-18,74,578,14,27,233,102,23,12,331
2018-05-19,58,427,11,22,196,68,35,9,372
2018-05-20,71,542,17,29,240,88,40,7,356
2018-05-21,66,640,12,38,232,112,35,8,389
2018-05-22,63,506,14,34,238,110,43,10,383
2018-05-23,73,497,18,38,268,131,42,17,379
2018-05-24,97,552,15,31,292,116,41,9,352
2018-05-25,67,483,17,27,286,101,38,6,359
2018-05-26,75,417,8,20,398,72,34,5,328
2018-05-27,115,507,9,21,667,90,22,5,381
2018-05-28,74,548,12,49,320,94,24,7,372
2018-05-29,75,598,6,29,302,130,32,5,382
2018-05-30,75,514,17,35,249,149,30,11,406
2018-05-31,53,558,10,36,237,137,33,7,361
2018-06-01,66,510,11,24,258,93,24,10,333
2018-06-02,76,508,20,13,209,68,24,11,355
2018-06-03,82,536,7,20,233,94,25,9,358
2018-06-04,81,658,10,18,224,115,32,5,341
2018-06-05,55,547,11,27,222,100,26,12,403
2018-06-06,74,527,10,23,211,102,33,10,367
2018-06-07,53,487,9,38,191,79,29,9,378
2018-06-08,46,511,13,34,202,71,36,10,353
2018-06-09,64,462,24,30,322,78,29,9,346
2018-06-10,74,488,9,23,425,77,31,8,386
2018-06-11,55,522,6,27,391,109,32,14,366
2018-06-12,80,505,7,28,262,94,26,13,342
2018-06-13,62,500,7,23,253,95,33,6,329
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,56,459,11,36,342,91,37,7,363
2018-06-16,69,418,8,27,327,82,33,7,306
2018-06-17,56,508,10,31,570,54,32,6,327
