Date,"Hope (painting)","Impala","Muhammad ibn Tughj al-Ikhshid","Lockheed C-130 Hercules in Australian service","Jochen Rindt","In Our Time (short story collection)","She Shoulda Said No!","Ferugliotheriidae","New wave of British heavy metal"
2015-12-31,60,844,7,18,175,81,36,6,1
2016-01-01,57,809,17,14,213,86,38,5,2
2016-01-02,51,795,14,16,188,113,42,6,0
2016-01-03,42,751,10,29,183,113,42,11,0
2016-01-04,45,798,15,26,234,125,59,13,1
2016-01-05,47,759,12,20,233,107,57,9,1
2016-01-06,53,758,13,21,176,123,50,9,0
2016-01-07,47,763,10,37,182,112,45,10,3
2016-01-08,42,670,13,40,205,88,39,10,1
2016-01-09,91,804,11,20,194,76,54,9,2
2016-01-10,64,772,9,23,201,96,45,8,2
2016-01-11,49,813,19,22,185,129,42,14,3
2016-01-12,37,790,11,24,153,117,36,10,0
2016-01-13,39,695,6,31,162,112,48,7,1
2016-01-14,66,789,12,25,245,142,49,12,0
2016-01-15,32,783,15,20,174,128,45,7,4
2016-01-16,53,741,20,13,344,78,34,13,2
2016-01-17,52,687,12,20,262,93,47,5,2
2016-01-18,66,807,23,18,507,126,42,16,1
2016-01-19,108,696,10,24,253,114,47,5,1
2016-01-20,69,683,5,20,433,128,30,4,2
2016-01-21,69,719,20,48,281,144,66,14,1
2016-01-22,60,793,15,21,226,105,39,7,0
2016-01-23,50,725,23,24,216,103,40,10,0
2016-01-24,62,724,6,20,193,127,41,6,2
2016-01-25,116,662,9,25,198,142,45,9,2
2016-01-26,380,926,12,23,223,119,41,5,0
2016-01-27,138,817,14,18,188,119,38,3,0
2016-01-28,103,822,12,29,167,148,34,8,2
2016-01-29,94,752,7,14,201,110,33,1,1
2016-01-30,70,725,17,23,244,72,39,13,0
2016-01-31,69,762,7,21,3392,115,34,4,0
2016-02-01,67,858,24,24,267,124,47,12,2
2016-02-02,44,850,19,35,175,125,38,11,1
2016-02-03,62,702,18,36,183,128,46,10,0
2016-02-04,63,825,11,26,224,137,39,6,1
2016-02-05,42,646,22,32,199,101,32,9,1
2016-02-06,67,639,21,30,212,96,22,8,1
2016-02-07,41,735,32,50,204,83,32,9,3
2016-02-08,71,647,57,25,256,134,39,11,0
2016-02-09,69,723,21,32,183,123,48,11,2
2016-02-10,90,765,22,38,219,131,48,17,0
2016-02-11,71,703,14,37,230,118,38,8,3
2016-02-12,34,689,16,28,211,103,41,9,2
2016-02-13,47,784,17,30,179,70,46,12,1
2016-02-14,59,775,9,17,158,106,37,7,0
2016-02-15,56,738,16,29,242,116,58,15,4
2016-02-16,46,760,5,16,253,117,49,7,1
2016-02-17,52,755,10,24,226,121,43,11,1
2016-02-18,49,736,12,27,182,137,30,8,0
2016-02-19,62,705,13,22,164,122,40,10,3
2016-02-20,39,739,13,22,191,79,41,7,0
2016-02-21,51,697,13,26,248,104,38,23,1
2016-02-22,63,749,17,31,241,139,45,5,2
2016-02-23,74,761,15,30,188,116,49,10,1
2016-02-24,75,832,17,24,198,139,47,9,0
2016-02-25,53,780,18,23,174,125,33,12,1
2016-02-26,54,691,20,27,194,106,31,11,1
2016-02-27,37,612,13,22,198,109,51,13,0
