Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2016-05-08,5,20,88,8,0,28,10,18,254
2016-05-09,3,20,158,15,0,49,12,28,253
2016-05-10,1,17,131,9,0,38,10,60,275
2016-05-11,4,20,162,13,0,23,11,22,213
2016-05-12,3,26,111,12,0,20,5,16,202
2016-05-13,5,14,173,10,0,28,8,17,171
2016-05-14,3,14,112,10,0,31,13,19,193
2016-05-15,0,23,135,20,0,24,16,23,164
2016-05-16,5,27,142,8,0,43,8,12,204
2016-05-17,2,31,140,11,0,30,10,22,189
2016-05-18,1,23,157,14,0,39,4,24,196
2016-05-19,1,20,156,19,0,21,11,30,182
2016-05-20,0,25,146,6,0,27,6,9,207
2016-05-21,3,27,135,10,0,28,11,19,209
2016-05-22,0,16,121,6,0,29,9,12,180
2016-05-23,2,20,115,16,0,39,19,22,191
2016-05-24,1,19,144,13,0,57,6,16,175
2016-05-25,4,20,137,14,0,44,13,19,174
2016-05-26,0,30,145,16,0,32,14,21,196
2016-05-27,4,15,98,12,0,34,9,15,150
2016-05-28,4,13,115,7,0,14,12,14,155
2016-05-29,3,18,129,6,0,37,11,15,215
2016-05-30,7,29,128,18,0,30,13,24,435
2016-05-31,3,17,121,8,0,26,10,17,269
2016-06-01,2,22,157,18,0,22,10,11,249
2016-06-02,6,22,142,15,0,36,15,23,199
2016-06-03,2,26,138,17,0,33,11,16,194
2016-06-04,1,23,114,14,0,35,12,15,206
2016-06-05,8,29,95,13,0,46,8,16,168
2016-06-06,3,6,119,20,0,55,7,17,192
2016-06-07,5,28,304,12,0,30,12,17,211
2016-06-08,3,26,171,8,0,22,8,12,213
2016-06-09,2,78,115,5,0,36,10,10,180
2016-06-10,2,226,101,4,0,20,5,17,281
2016-06-11,0,9,82,9,0,21,6,14,377
2016-06-12,2,20,107,6,0,21,18,13,293
2016-06-13,2,20,107,17,0,56,14,17,238
2016-06-14,0,25,140,14,0,41,17,16,195
