Date,"Flying Eagle cent","Akodon spegazzinii","Waiting (2015 film)","Menacer","Hands Across Hawthorne","Harvey Kurtzman's Jungle Book","Japanese battleship Mutsu","Monnow Bridge","R. V. C. Bodley"
2015-07-01,44,9,0,45,7,9,127,4,75
2015-07-02,43,6,0,34,11,8,145,7,86
2015-07-03,53,9,0,39,3,12,150,5,70
2015-07-04,94,4,0,50,15,14,122,10,71
2015-07-05,64,8,0,37,2,13,133,5,73
2015-07-06,59,10,0,44,5,27,151,5,67
2015-07-07,92,14,0,66,3,13,195,11,99
2015-07-08,44,18,0,63,5,19,157,13,112
2015-07-09,51,14,0,45,4,18,145,9,72
2015-07-10,56,11,0,42,4,20,207,6,127
2015-07-11,46,9,0,57,4,13,149,11,109
2015-07-12,66,8,0,74,6,15,171,6,102
2015-07-13,52,8,0,64,1,13,189,11,74
2015-07-14,77,19,0,45,3,96,186,4,97
2015-07-15,72,10,0,31,3,25,170,6,87
2015-07-16,61,12,0,34,1,10,167,11,101
2015-07-17,54,8,0,39,2,8,154,3,23
2015-07-18,44,9,0,40,4,11,182,6,14
2015-07-19,62,6,0,36,4,11,134,11,13
2015-07-20,57,7,0,44,1,9,186,5,9
2015-07-21,48,6,0,33,1,12,161,10,14
2015-07-22,52,9,0,44,4,11,157,7,18
2015-07-23,63,9,0,35,4,33,177,8,19
2015-07-24,70,18,0,66,2,15,219,11,22
2015-07-25,68,15,0,41,4,12,166,12,19
2015-07-26,70,6,0,43,4,18,139,9,19
2015-07-27,64,14,0,48,1,20,148,13,16
2015-07-28,64,9,0,29,8,12,182,3,12
2015-07-29,67,22,0,57,1,20,187,8,23
2015-07-30,61,10,0,39,2,18,256,6,21
2015-07-31,59,17,0,51,6,18,198,8,22
2015-08-01,64,16,0,48,1,13,165,5,31
2015-08-02,60,11,0,54,0,13,161,9,18
2015-08-03,63,17,0,54,10,26,153,9,22
2015-08-04,48,12,0,65,1,16,177,12,19
2015-08-05,50,12,0,43,2,9,147,17,11
2015-08-06,64,10,0,51,6,12,156,10,19
2015-08-07,56,9,0,43,1,11,156,18,13
2015-08-08,52,10,0,41,6,18,168,15,12
2015-08-09,63,11,0,45,1,10,189,13,15
2015-08-10,60,15,0,45,2,15,163,6,16
2015-08-11,83,11,0,57,4,17,158,11,14
2015-08-12,69,13,0,43,1,14,202,10,11
2015-08-13,49,18,0,51,1,12,314,13,13
2015-08-14,56,13,0,55,5,17,324,11,13
2015-08-15,52,13,0,68,1,24,230,10,28
2015-08-16,76,10,0,57,4,28,220,10,14
2015-08-17,68,8,0,68,4,10,221,13,14
2015-08-18,59,10,0,55,3,14,219,13,13
2015-08-19,80,17,0,38,4,16,150,14,18
2015-08-20,58,14,0,36,5,19,176,13,17
2015-08-21,60,14,0,48,2,15,182,12,18
2015-08-22,60,13,0,39,1,10,146,11,18
2015-08-23,48,10,0,41,1,10,169,4,18
2015-08-24,87,12,0,33,5,15,173,21,16
2015-08-25,51,18,0,55,2,22,238,2,15
2015-08-26,59,10,0,45,4,19,221,9,18
2015-08-27,82,7,0,48,6,14,169,9,13
2015-08-28,146,10,0,40,1,10,165,5,15
2015-08-29,77,18,0,32,3,13,143,7,23
2015-08-30,54,2,0,29,1,11,144,7,10
2015-08-31,57,15,0,35,1,15,171,5,11
2015-09-01,79,15,0,52,2,28,155,7,23
2015-09-02,64,7,0,43,6,10,145,17,14
2015-09-03,57,10,0,34,11,16,189,11,13
2015-09-04,72,23,0,52,3,14,107,13,20
2015-09-05,73,8,0,37,2,13,183,9,13
2015-09-06,72,15,0,54,1,22,178,9,19
2015-09-07,73,17,0,55,9,15,189,12,20
2015-09-08,81,20,0,56,3,22,184,42,18
2015-09-09,70,12,0,38,12,16,167,10,17
2015-09-10,73,11,0,39,4,18,183,8,22
2015-09-11,134,49,0,102,4,62,207,7,72
2015-09-12,54,12,0,45,0,13,161,10,13
2015-09-13,59,10,0,48,2,20,197,18,13
2015-09-14,73,10,0,43,2,14,164,9,18
2015-09-15,85,12,0,37,3,38,165,16,11
2015-09-16,77,11,0,56,1,34,147,7,19
2015-09-17,83,12,0,45,1,35,156,1,13
2015-09-18,67,7,0,31,2,9,126,6,5
2015-09-19,59,10,0,37,2,19,125,10,14
2015-09-20,67,8,0,28,2,22,140,9,13
2015-09-21,78,8,0,36,4,9,149,15,9
2015-09-22,73,18,0,44,4,30,204,26,25
2015-09-23,75,14,0,39,1,18,169,2,21
2015-09-24,77,16,0,43,2,18,171,9,12
2015-09-25,63,9,0,39,2,19,276,8,15
2015-09-26,326,8,0,43,1,2,137,2,15
2015-09-27,111,11,0,39,1,19,195,11,11
2015-09-28,108,9,0,46,4,17,178,12,7
2015-09-29,91,16,0,45,2,23,174,6,18
2015-09-30,51,12,0,34,2,19,161,10,16
2015-10-01,79,11,0,48,1,20,141,5,24
2015-10-02,53,12,0,41,4,14,154,4,20
2015-10-03,68,16,0,43,3,27,138,6,17
2015-10-04,58,12,0,49,1,13,147,5,14
2015-10-05,51,18,0,41,3,11,150,11,17
2015-10-06,74,20,0,51,1,17,175,11,22
2015-10-07,74,18,0,58,3,19,149,14,17
2015-10-08,74,17,0,50,3,17,215,10,11
2015-10-09,79,15,0,41,1,19,155,7,23
2015-10-10,63,8,0,35,0,7,134,12,9
2015-10-11,69,7,0,42,0,11,148,8,11
2015-10-12,65,17,0,57,3,19,158,11,22
2015-10-13,72,11,0,38,2,16,152,19,15
2015-10-14,75,14,0,51,11,14,147,7,18
2015-10-15,57,13,0,69,1,17,166,1,22
2015-10-16,71,10,0,48,4,9,147,5,9
2015-10-17,74,11,0,37,2,16,248,9,11
2015-10-18,61,9,0,44,3,16,198,13,17
2015-10-19,55,10,0,60,3,14,202,10,20
2015-10-20,87,17,0,48,4,12,154,17,11
2015-10-21,56,12,0,33,5,12,200,12,13
2015-10-22,72,19,0,49,2,22,148,2,18
2015-10-23,54,14,0,64,3,14,164,6,21
2015-10-24,53,8,0,37,0,15,173,17,19
2015-10-25,227,10,0,51,3,15,189,7,26
2015-10-26,100,20,0,52,1,20,184,8,19
2015-10-27,88,14,0,50,0,23,181,10,21
2015-10-28,88,16,0,52,4,24,169,8,27
2015-10-29,67,19,0,45,1,13,154,10,16
2015-10-30,71,18,0,68,4,25,174,5,20
2015-10-31,59,8,0,36,1,22,158,1,21
2015-11-01,71,17,0,50,4,17,148,10,16
2015-11-02,46,5,0,42,2,13,157,1,12
2015-11-03,61,8,0,43,1,15,173,13,12
2015-11-04,39,14,0,43,5,11,144,11,14
2015-11-05,63,12,0,121,1,7,160,10,11
2015-11-06,54,14,0,80,2,13,136,4,18
2015-11-07,62,14,0,91,5,16,147,15,15
2015-11-08,52,5,0,56,2,17,136,12,10
2015-11-09,55,11,0,46,4,13,148,7,8
2015-11-10,54,12,0,39,4,11,176,7,18
2015-11-11,58,11,0,38,2,9,146,5,12
2015-11-12,78,20,0,51,0,33,171,5,23
2015-11-13,64,10,0,23,3,17,293,6,13
2015-11-14,58,8,0,26,0,16,279,9,14
2015-11-15,58,15,0,55,1,19,566,7,22
2015-11-16,67,20,0,50,2,19,228,6,23
2015-11-17,72,11,0,61,1,18,162,12,15
2015-11-18,93,14,0,45,0,18,152,4,15
2015-11-19,48,11,0,39,1,10,159,6,13
2015-11-20,51,10,0,43,1,9,143,12,12
2015-11-21,46,13,0,34,2,5,144,8,7
2015-11-22,73,12,0,36,1,13,146,8,16
2015-11-23,68,9,0,42,0,14,145,7,16
2015-11-24,75,11,0,32,1,16,141,5,20
2015-11-25,61,10,0,28,0,14,138,9,13
2015-11-26,54,14,0,32,1,10,132,14,10
2015-11-27,71,9,0,47,1,17,172,11,20
2015-11-28,70,9,0,40,0,3,139,10,15
2015-11-29,63,13,0,42,2,14,134,12,11
2015-11-30,53,9,0,51,1,5,155,4,11
2015-12-01,74,15,0,39,4,7,157,15,13
2015-12-02,51,12,0,32,1,9,150,4,13
2015-12-03,97,7,0,33,4,5,129,6,5
2015-12-04,69,11,0,49,2,15,137,10,15
2015-12-05,58,15,0,50,2,18,165,7,14
2015-12-06,59,8,0,28,2,29,174,6,10
2015-12-07,48,8,0,42,4,18,205,5,6
2015-12-08,52,6,0,39,2,13,180,12,13
2015-12-09,63,14,0,48,1,19,160,5,16
2015-12-10,64,9,0,32,2,13,179,14,13
2015-12-11,310,14,0,35,2,11,182,9,17
2015-12-12,136,11,0,38,2,18,150,8,24
2015-12-13,61,6,0,37,2,7,140,9,18
2015-12-14,76,7,0,38,3,9,184,8,11
2015-12-15,66,10,0,33,1,10,181,11,20
2015-12-16,59,6,0,64,0,11,132,10,11
2015-12-17,60,11,0,41,3,9,142,11,16
2015-12-18,61,6,0,53,2,15,134,7,7
2015-12-19,61,7,0,39,5,15,181,7,19
2015-12-20,51,5,0,32,0,5,185,4,4
2015-12-21,70,3,0,33,2,13,143,7,3
2015-12-22,49,9,0,40,1,8,183,7,9
2015-12-23,51,7,0,27,0,13,159,5,9
2015-12-24,51,7,0,27,0,8,136,3,8
2015-12-25,54,8,0,29,2,10,111,7,8
2015-12-26,56,8,0,41,0,7,113,7,8
2015-12-27,53,3,0,53,4,18,153,5,8
2015-12-28,62,16,0,44,12,21,158,8,4
2015-12-29,43,9,0,38,2,9,166,10,24
2015-12-30,87,14,0,45,2,15,141,10,10
2015-12-31,50,2,0,29,1,12,145,8,15
2016-01-01,65,6,0,48,1,19,125,5,12
2016-01-02,58,5,0,50,2,11,164,21,11
2016-01-03,67,9,0,43,0,11,146,9,16
2016-01-04,67,10,0,44,7,17,133,15,15
2016-01-05,58,9,0,41,5,14,132,8,9
2016-01-06,75,12,0,29,4,15,174,9,7
2016-01-07,67,10,0,43,4,14,147,8,7
2016-01-08,72,11,0,50,0,13,162,6,13
2016-01-09,63,14,0,40,0,6,142,6,10
2016-01-10,77,11,0,46,5,10,158,7,16
2016-01-11,75,4,0,73,0,11,160,8,22
2016-01-12,52,5,0,46,0,11,163,11,13
2016-01-13,68,3,0,49,2,12,145,11,13
2016-01-14,75,8,0,36,6,15,140,1,12
2016-01-15,198,11,0,41,4,19,146,13,17
2016-01-16,134,12,0,54,1,11,136,5,11
2016-01-17,71,7,0,54,3,5,162,8,11
2016-01-18,82,12,0,42,4,17,138,11,16
2016-01-19,93,2,0,26,2,9,177,12,15
2016-01-20,62,4,0,37,0,11,118,2,16
2016-01-21,73,16,0,54,2,19,167,17,23
2016-01-22,80,9,0,40,3,14,269,11,11
2016-01-23,71,9,0,46,1,15,173,5,17
2016-01-24,60,15,0,31,3,15,158,2,13
2016-01-25,102,12,0,43,1,10,149,6,15
2016-01-26,67,10,0,28,2,13,156,7,7
2016-01-27,74,3,0,36,6,12,152,14,10
2016-01-28,74,10,0,36,2,15,157,9,22
2016-01-29,52,4,0,21,2,5,132,8,16
2016-01-30,79,9,0,39,0,16,155,11,19
2016-01-31,68,1,0,39,1,4,150,7,9
2016-02-01,64,8,0,42,1,16,185,5,11
2016-02-02,69,9,0,49,4,14,175,5,13
2016-02-03,73,11,0,47,1,11,153,9,12
2016-02-04,66,5,0,36,2,4,156,12,34
2016-02-05,60,15,0,49,1,18,194,9,15
2016-02-06,68,7,0,39,3,8,170,10,19
2016-02-07,70,14,0,43,3,13,154,7,9
2016-02-08,68,7,0,27,3,15,154,4,12
2016-02-09,75,11,0,37,1,12,171,8,11
2016-02-10,70,21,0,41,1,20,198,6,20
2016-02-11,73,23,0,51,1,18,141,10,19
2016-02-12,55,17,0,58,2,15,152,9,20
2016-02-13,73,11,0,41,1,15,132,8,13
2016-02-14,62,4,0,33,2,9,132,13,12
2016-02-15,70,19,0,41,3,16,188,9,13
2016-02-16,85,10,0,28,1,15,165,9,9
2016-02-17,54,10,0,36,3,9,147,16,12
2016-02-18,66,8,0,34,4,9,133,10,20
2016-02-19,79,14,0,65,2,20,135,19,12
2016-02-20,51,8,0,44,0,13,147,15,20
2016-02-21,89,28,0,41,0,21,137,20,13
2016-02-22,61,6,0,55,7,11,171,21,19
2016-02-23,88,12,0,34,6,9,180,12,16
2016-02-24,60,5,0,37,1,9,156,11,11
2016-02-25,57,9,0,33,4,18,185,17,11
2016-02-26,79,11,0,54,2,12,214,13,12
2016-02-27,79,10,0,31,2,13,177,15,23
2016-02-28,74,13,0,34,3,15,157,11,21
2016-02-29,82,13,0,41,5,13,193,14,17
2016-03-01,84,7,0,42,0,10,439,6,11
2016-03-02,53,6,0,46,9,14,301,20,8
2016-03-03,53,8,18,38,2,6,198,7,6
2016-03-04,60,8,20,32,1,13,196,4,10
2016-03-05,73,12,20,38,3,14,173,8,18
2016-03-06,62,12,29,34,3,14,177,9,14
2016-03-07,57,10,27,51,2,17,178,6,15
2016-03-08,50,9,28,35,9,12,218,10,9
2016-03-09,57,13,39,51,1,15,192,6,10
2016-03-10,63,8,29,30,5,13,176,6,12
2016-03-11,98,7,17,32,0,12,174,13,9
2016-03-12,69,16,28,43,1,16,130,10,23
2016-03-13,61,6,46,39,1,14,215,3,8
2016-03-14,57,10,58,45,4,12,198,3,12
2016-03-15,65,9,40,45,0,25,176,8,9
2016-03-16,52,6,29,47,4,9,165,12,10
2016-03-17,69,13,37,42,1,11,151,4,16
2016-03-18,77,9,23,29,4,11,133,4,10
2016-03-19,66,6,26,30,1,9,149,8,12
2016-03-20,73,5,12,36,1,13,145,14,17
2016-03-21,81,9,21,41,3,16,161,7,16
2016-03-22,61,7,18,39,2,15,181,7,11
2016-03-23,55,7,20,26,1,10,150,11,12
2016-03-24,63,4,60,28,3,9,140,9,12
2016-03-25,62,3,109,40,0,15,158,6,11
2016-03-26,54,6,84,41,5,19,116,16,18
2016-03-27,71,7,92,35,0,9,170,9,11
2016-03-28,67,11,123,45,3,19,167,9,19
2016-03-29,57,9,130,29,1,13,160,10,13
2016-03-30,54,14,76,40,3,20,146,21,15
2016-03-31,62,9,89,42,1,20,146,16,15
2016-04-01,59,9,77,37,4,13,139,8,15
2016-04-02,77,16,85,37,4,20,138,5,19
2016-04-03,65,17,84,52,0,27,161,10,15
2016-04-04,66,10,91,29,2,21,166,9,21
2016-04-05,55,11,93,53,5,22,173,12,17
2016-04-06,58,10,112,40,2,26,189,16,20
2016-04-07,49,5,94,44,3,14,150,20,16
2016-04-08,81,9,90,31,0,22,151,11,17
2016-04-09,63,17,108,40,2,26,169,11,18
2016-04-10,68,19,107,34,0,25,181,10,19
2016-04-11,65,8,117,34,3,32,186,14,17
2016-04-12,69,11,91,41,1,17,171,8,18
2016-04-13,62,8,95,34,4,30,164,4,13
2016-04-14,71,16,82,38,1,30,139,12,85
2016-04-15,50,12,100,64,2,40,175,5,22
2016-04-16,65,7,101,150,1,52,135,15,23
2016-04-17,71,12,117,78,1,31,161,14,10
2016-04-18,56,10,119,73,1,35,152,14,16
2016-04-19,52,9,101,54,0,25,395,7,17
2016-04-20,80,6,95,49,3,22,211,16,14
2016-04-21,107,13,323,33,2,29,149,7,13
2016-04-22,83,13,1849,37,0,22,183,7,19
2016-04-23,63,11,1360,36,5,19,138,13,12
2016-04-24,101,17,1695,56,0,33,172,10,15
2016-04-25,70,3,677,38,2,20,176,10,7
2016-04-26,59,11,614,34,0,20,179,13,12
2016-04-27,79,13,517,41,3,15,177,24,16
2016-04-28,48,28,483,37,1,19,162,4,15
2016-04-29,53,7,435,33,1,14,166,15,8
2016-04-30,94,6,392,53,1,26,143,13,18
2016-05-01,77,10,335,39,2,15,170,6,8
2016-05-02,63,10,317,36,0,19,184,14,16
2016-05-03,65,12,298,41,8,26,210,12,8
2016-05-04,77,17,462,49,0,28,173,22,19
2016-05-05,56,11,665,33,0,17,155,9,12
2016-05-06,69,13,602,50,0,15,165,7,14
2016-05-07,51,7,462,31,1,21,149,10,16
2016-05-08,63,8,389,31,3,16,131,19,7
2016-05-09,53,11,349,32,35,16,172,13,18
2016-05-10,56,10,342,47,3,14,193,5,14
2016-05-11,66,16,483,42,4,21,161,14,21
2016-05-12,48,8,716,32,5,18,165,6,14
2016-05-13,64,13,744,32,22,22,186,11,19
2016-05-14,56,8,694,27,9,24,155,10,16
2016-05-15,40,14,708,34,8,19,173,9,10
2016-05-16,105,5,817,39,0,8,144,3,7
2016-05-17,73,15,972,30,9,14,129,10,9
2016-05-18,53,6,821,35,5,12,119,14,13
2016-05-19,60,13,682,49,2,15,157,7,16
2016-05-20,70,8,818,42,3,20,124,13,14
2016-05-21,68,10,927,34,7,15,136,7,16
2016-05-22,82,5,1023,33,2,10,124,13,10
2016-05-23,71,12,1136,43,2,22,176,10,19
2016-05-24,57,11,1561,53,1,12,186,11,11
2016-05-25,57,11,2066,38,3,16,167,6,18
2016-05-26,85,18,3693,42,5,23,153,17,22
2016-05-27,67,8,6328,29,4,20,145,15,12
2016-05-28,52,8,5453,35,4,19,142,7,19
2016-05-29,50,8,3935,42,1,17,160,9,12
2016-05-30,64,11,3842,39,8,23,202,11,14
2016-05-31,55,14,271,46,6,13,221,14,17
2016-06-01,46,13,121,29,4,13,191,21,13
2016-06-02,78,15,115,40,55,20,229,14,16
2016-06-03,66,13,130,34,49,18,157,7,13
2016-06-04,52,10,1450,34,32,18,151,8,16
2016-06-05,56,11,1785,36,6,17,147,6,12
2016-06-06,54,10,1700,41,4,14,161,12,12
2016-06-07,58,11,2226,27,4,13,247,11,7
2016-06-08,44,9,2062,32,1,7,279,11,12
2016-06-09,46,12,1896,29,4,11,166,11,11
2016-06-10,66,7,1877,37,5,16,155,7,11
2016-06-11,61,6,1703,28,8,9,147,3,9
2016-06-12,48,6,1950,25,2,12,147,8,15
2016-06-13,48,13,1479,38,3,22,184,23,19
2016-06-14,56,14,1209,41,18,23,183,5,14
2016-06-15,57,17,1203,36,24,17,158,8,16
2016-06-16,53,14,1020,39,16,18,163,7,16
2016-06-17,43,12,1008,25,8,13,148,11,12
2016-06-18,65,16,867,42,12,22,132,5,20
2016-06-19,47,15,865,31,19,20,133,7,18
2016-06-20,43,8,692,33,3,14,159,6,14
2016-06-21,58,12,686,31,10,18,168,4,17
2016-06-22,46,3,600,24,6,5,125,5,14
2016-06-23,48,8,613,25,10,10,134,10,5
2016-06-24,50,12,677,44,5,14,150,6,10
2016-06-25,57,10,767,54,5,12,107,13,8
2016-06-26,53,7,694,42,7,11,107,10,10
2016-06-27,64,11,569,31,5,17,142,4,21
2016-06-28,42,7,558,32,3,12,130,10,9
2016-06-29,52,10,605,35,2,17,126,4,17
2016-06-30,51,6,599,37,8,11,169,5,10
2016-07-01,99,9,655,22,6,17,162,11,12
2016-07-02,59,13,634,30,4,11,122,9,18
2016-07-03,33,14,600,28,3,12,141,9,9
2016-07-04,83,16,517,32,15,13,169,16,16
2016-07-05,53,4,498,49,10,10,132,7,10
2016-07-06,54,14,500,26,2,11,146,8,22
2016-07-07,55,8,472,30,2,15,157,12,8
2016-07-08,40,4,840,36,6,12,144,10,7
2016-07-09,55,13,1710,37,10,9,148,14,12
2016-07-10,54,7,840,32,4,10,124,7,7
2016-07-11,50,10,607,38,9,10,180,9,12
2016-07-12,74,16,552,50,16,18,172,5,18
2016-07-13,43,12,511,49,7,9,178,14,6
2016-07-14,47,6,408,46,8,10,128,9,12
2016-07-15,35,7,497,32,5,11,141,7,14
2016-07-16,49,5,535,35,4,11,115,5,6
2016-07-17,65,12,538,40,5,12,126,4,13
2016-07-18,53,9,450,61,2,11,146,14,5
2016-07-19,44,9,481,55,1,14,123,8,13
2016-07-20,68,4,435,37,2,10,130,14,2
2016-07-21,48,8,391,32,1,12,125,8,16
2016-07-22,52,11,406,38,3,16,130,12,16
2016-07-23,50,10,387,41,2,8,127,10,16
2016-07-24,52,12,467,43,2,14,147,14,10
2016-07-25,62,13,393,34,1,12,150,15,16
2016-07-26,48,15,295,38,5,19,139,13,14
2016-07-27,57,10,410,32,4,11,205,15,7
2016-07-28,33,12,378,42,1,20,142,11,11
2016-07-29,63,15,306,51,4,28,156,4,12
2016-07-30,55,10,376,44,2,17,154,13,11
2016-07-31,53,14,339,50,2,29,114,9,19
2016-08-01,70,10,309,42,7,19,142,12,11
2016-08-02,58,9,300,35,6,16,264,12,20
2016-08-03,55,15,294,38,8,18,172,9,21
2016-08-04,44,3,501,44,6,13,146,14,13
2016-08-05,69,11,1598,28,4,19,154,9,15
2016-08-06,71,9,1370,34,2,25,155,4,12
2016-08-07,47,9,1048,29,1,23,149,14,11
2016-08-08,48,7,1143,31,8,19,153,11,12
2016-08-09,45,8,2849,36,47,26,157,18,18
2016-08-10,62,9,2304,46,15,18,143,13,8
2016-08-11,89,6,2007,33,24,21,144,4,9
2016-08-12,66,8,1974,26,35,11,162,9,8
2016-08-13,55,7,2269,40,10,13,116,12,9
2016-08-14,61,9,2181,28,8,16,166,10,13
2016-08-15,42,17,1412,31,3,16,151,8,11
2016-08-16,48,10,1208,35,13,12,194,11,8
2016-08-17,36,7,1108,28,4,13,132,3,4
2016-08-18,48,15,1058,33,2,13,143,6,13
2016-08-19,55,10,1098,34,6,13,161,7,15
2016-08-20,65,9,1410,36,1,18,187,13,10
2016-08-21,55,17,1365,48,10,23,172,14,15
2016-08-22,59,14,1001,34,32,9,144,18,10
2016-08-23,67,10,799,41,22,21,163,4,21
2016-08-24,51,10,792,51,9,14,181,12,9
2016-08-25,48,7,813,32,16,17,149,14,7
2016-08-26,56,10,868,41,27,15,146,7,15
2016-08-27,60,12,1124,46,7,25,165,12,14
2016-08-28,58,11,1274,58,3,16,497,17,11
2016-08-29,64,9,863,43,3,17,152,9,11
2016-08-30,63,10,726,37,8,18,168,12,16
2016-08-31,61,9,841,33,1,17,172,5,9
2016-09-01,47,14,796,25,3,17,153,7,17
2016-09-02,65,13,2101,30,3,22,127,20,18
2016-09-03,48,9,1085,36,0,17,133,2,5
2016-09-04,63,9,1094,45,1,22,126,6,16
2016-09-05,64,16,909,34,6,15,143,5,24
2016-09-06,66,10,701,34,7,16,126,18,19
2016-09-07,42,4,700,36,5,11,121,17,5
2016-09-08,47,8,617,33,2,9,165,9,8
2016-09-09,61,13,719,39,3,22,154,7,14
2016-09-10,46,8,994,39,4,18,117,12,16
2016-09-11,54,4,962,30,2,7,128,14,6
2016-09-12,57,18,699,44,1,17,152,16,13
2016-09-13,87,14,554,28,8,13,217,11,14
2016-09-14,54,16,515,44,2,18,166,6,12
2016-09-15,48,9,535,33,9,14,151,9,9
2016-09-16,50,13,480,31,5,16,151,10,14
2016-09-17,59,14,591,38,6,12,124,18,7
2016-09-18,62,11,579,45,4,17,170,5,21
2016-09-19,60,9,457,39,2,14,171,12,10
2016-09-20,60,4,413,31,7,8,136,12,7
2016-09-21,64,9,414,42,4,13,147,14,11
2016-09-22,167,156,407,40,4,186,160,10,160
2016-09-23,60,6,441,264,2,16,268,7,11
2016-09-24,67,9,514,26,5,15,132,7,13
2016-09-25,52,4,529,34,15,7,153,13,10
2016-09-26,57,13,405,37,6,11,172,17,16
2016-09-27,51,6,369,23,12,17,173,10,12
2016-09-28,46,12,326,45,5,19,169,5,17
2016-09-29,49,18,312,41,55,13,167,7,14
2016-09-30,50,10,387,30,3,14,145,10,10
2016-10-01,43,13,464,30,9,13,128,7,8
2016-10-02,53,7,549,43,14,10,142,13,14
2016-10-03,54,9,400,28,49,12,174,4,10
2016-10-04,43,8,340,32,26,17,143,6,13
2016-10-05,55,5,336,25,3,6,121,9,11
2016-10-06,40,15,296,26,5,12,149,13,16
2016-10-07,44,17,402,25,1,12,163,17,17
2016-10-08,64,14,491,35,5,15,128,24,11
2016-10-09,51,13,408,35,0,13,139,10,12
2016-10-10,55,13,331,32,8,21,156,7,18
2016-10-11,46,6,334,34,1,10,131,15,17
2016-10-12,351,13,345,20,2,10,152,10,10
2016-10-13,70,6,367,30,5,18,205,9,15
2016-10-14,72,13,368,40,9,17,276,10,13
2016-10-15,73,11,488,32,13,12,143,12,12
2016-10-16,72,7,527,27,4,8,179,9,15
2016-10-17,56,7,308,43,10,11,166,9,12
2016-10-18,69,19,293,48,16,15,157,14,16
2016-10-19,64,10,313,33,6,7,184,16,8
2016-10-20,70,9,278,33,10,12,162,9,15
2016-10-21,60,6,339,33,5,7,183,10,16
2016-10-22,52,6,408,27,3,8,151,9,7
2016-10-23,63,7,397,35,1,16,131,5,8
2016-10-24,66,7,356,37,4,13,147,6,10
2016-10-25,67,13,324,34,3,18,159,10,19
2016-10-26,44,13,268,29,11,10,167,9,13
2016-10-27,79,14,260,37,10,14,147,5,17
2016-10-28,64,19,248,35,15,17,146,8,19
2016-10-29,59,7,348,28,15,8,127,7,19
2016-10-30,53,6,330,34,11,7,164,6,14
2016-10-31,67,17,288,33,12,13,144,24,20
2016-11-01,81,14,266,40,24,17,171,15,17
2016-11-02,71,9,241,25,19,19,157,13,13
2016-11-03,71,12,245,27,14,22,150,3,10
2016-11-04,58,10,250,32,4,19,145,10,10
2016-11-05,40,5,362,23,7,11,118,10,8
2016-11-06,54,5,341,36,6,16,176,9,12
2016-11-07,65,21,322,32,191,16,156,11,20
2016-11-08,73,18,284,59,1,16,201,9,19
2016-11-09,51,17,236,33,7,13,114,2,12
2016-11-10,46,12,257,52,16,15,138,10,14
2016-11-11,67,7,350,30,5,12,138,9,8
2016-11-12,61,10,471,27,82,5,151,9,10
2016-11-13,70,9,404,26,112,8,144,10,17
2016-11-14,73,9,327,38,120,15,154,7,28
2016-11-15,61,15,280,33,93,15,139,5,24
2016-11-16,70,9,290,29,87,7,166,4,7
