Date,"Galaxy Science Fiction","Chad Harris-Crane","Guilden Morden boar","Musca","Blast Corps","Mortimer Wheeler","The American Bible Challenge","Muhammad Ali Jinnah","Canadian Indian residential school system"
2015-12-06,58,28,0,109,166,93,50,3102,501
2015-12-07,45,39,0,103,194,107,40,3352,874
2015-12-08,43,45,0,129,170,112,34,3635,911
2015-12-09,70,30,0,107,192,142,46,3636,1062
2015-12-10,52,19,0,83,199,101,65,3318,884
2015-12-11,52,23,0,87,204,101,44,2828,783
2015-12-12,49,23,0,73,212,94,90,2716,947
2015-12-13,58,22,0,69,226,107,58,3173,522
2015-12-14,60,38,0,59,251,76,54,3209,1034
2015-12-15,94,22,0,81,183,103,42,2851,2724
2015-12-16,83,33,0,70,176,106,34,3086,4149
2015-12-17,62,29,0,54,169,127,26,2982,2971
2015-12-18,60,21,0,55,155,101,33,2614,1208
2015-12-19,52,22,0,38,160,69,53,2648,876
2015-12-20,35,30,0,49,160,95,36,2814,633
2015-12-21,93,35,0,64,189,86,57,3064,951
2015-12-22,70,28,0,44,252,85,46,3073,544
2015-12-23,52,35,0,55,227,72,58,2983,353
2015-12-24,46,23,0,62,169,58,34,5150,252
2015-12-25,62,28,0,67,310,41,30,16571,235
2015-12-26,52,28,0,58,356,81,64,6053,252
2015-12-27,54,38,0,43,313,91,47,3880,306
2015-12-28,67,32,0,45,241,87,55,3438,321
2015-12-29,74,33,0,74,236,101,112,3343,358
2015-12-30,51,25,0,69,199,90,55,3155,290
2015-12-31,65,23,0,64,168,54,82,2772,297
2016-01-01,86,66,0,56,192,66,69,2546,288
2016-01-02,74,109,0,63,217,86,81,2854,332
2016-01-03,64,83,0,95,216,103,56,3215,365
2016-01-04,78,60,0,95,184,88,60,3478,656
2016-01-05,91,39,0,80,174,97,66,3283,772
2016-01-06,78,57,0,108,170,125,71,3172,802
2016-01-07,67,37,0,100,211,107,111,3017,867
2016-01-08,81,36,0,68,2493,110,74,2707,662
2016-01-09,76,49,0,73,244,89,109,3343,443
2016-01-10,69,29,0,144,242,116,72,3171,590
2016-01-11,54,38,0,100,221,110,53,3198,974
2016-01-12,71,43,0,93,191,123,75,2951,979
2016-01-13,55,35,0,107,173,100,69,3054,1634
2016-01-14,72,44,0,81,166,94,43,2947,980
2016-01-15,52,42,0,93,154,80,48,2381,951
2016-01-16,51,24,0,81,147,91,100,2382,441
2016-01-17,55,53,0,98,142,176,54,2688,528
2016-01-18,52,40,0,77,149,142,87,2760,1090
2016-01-19,60,32,0,79,135,112,67,2812,1085
2016-01-20,52,36,0,87,127,133,60,3033,1094
2016-01-21,65,32,0,100,150,137,46,2915,1097
2016-01-22,71,31,0,53,155,112,67,2515,895
2016-01-23,64,44,0,86,161,97,84,2568,682
2016-01-24,67,43,0,76,154,95,67,2907,723
2016-01-25,64,44,0,71,158,140,48,2937,1116
2016-01-26,74,32,0,93,133,111,35,3340,1112
2016-01-27,47,36,0,117,140,122,60,2775,1128
2016-01-28,69,45,0,82,124,108,40,2801,978
2016-01-29,67,35,0,64,139,113,40,2462,698
2016-01-30,69,32,0,79,142,109,65,3730,417
2016-01-31,68,39,0,78,165,103,69,3275,567
2016-02-01,74,37,0,65,152,122,44,2804,907
2016-02-02,101,34,0,80,122,141,47,3023,910
2016-02-03,72,44,0,71,162,116,125,2699,797
2016-02-04,75,28,0,79,159,111,45,2568,819
2016-02-05,75,32,0,79,164,82,57,2470,831
2016-02-06,72,40,0,91,148,74,81,2578,488
2016-02-07,76,25,0,87,137,101,52,2614,500
2016-02-08,63,27,0,56,150,105,44,2518,728
2016-02-09,68,37,0,77,285,144,30,2877,887
2016-02-10,65,41,0,78,180,129,44,2830,845
2016-02-11,73,30,0,81,159,151,38,2551,878
2016-02-12,64,33,0,72,150,118,39,2340,632
2016-02-13,73,30,0,60,204,82,52,2272,359
2016-02-14,71,46,0,72,247,282,50,2391,363
2016-02-15,80,35,0,75,208,111,43,2704,568
2016-02-16,69,39,0,73,204,135,45,3260,726
2016-02-17,66,26,0,88,171,127,39,2965,1086
2016-02-18,61,24,0,96,164,124,35,2633,889
2016-02-19,57,24,0,90,202,156,55,2622,754
2016-02-20,65,32,0,86,202,101,60,2763,465
2016-02-21,86,40,0,58,223,176,43,2860,545
2016-02-22,72,27,0,79,155,118,47,2861,927
2016-02-23,72,26,0,446,227,129,46,2835,964
2016-02-24,58,31,0,82,176,126,44,2661,944
2016-02-25,77,41,0,85,185,164,32,2927,992
2016-02-26,70,22,0,82,146,164,28,2522,764
2016-02-27,71,26,0,72,207,130,50,3116,430
2016-02-28,113,44,0,79,141,150,37,2952,514
2016-02-29,101,37,0,98,158,115,47,2964,1028
2016-03-01,92,27,0,114,169,120,33,3167,964
2016-03-02,79,33,0,70,165,141,43,3128,1194
2016-03-03,74,37,0,92,166,137,34,3261,985
2016-03-04,48,34,0,62,159,101,45,2682,834
2016-03-05,57,22,0,78,143,85,63,2772,495
2016-03-06,67,48,0,77,144,108,40,3144,578
2016-03-07,71,38,0,82,154,120,41,3014,1018
2016-03-08,61,33,0,67,155,164,43,2747,1136
2016-03-09,65,31,0,76,121,135,43,2898,1476
2016-03-10,60,16,0,71,110,125,33,2921,917
2016-03-11,68,48,0,71,126,89,38,2549,727
2016-03-12,50,20,0,80,138,100,38,2553,429
2016-03-13,75,36,0,55,133,116,46,2742,452
2016-03-14,71,38,0,64,133,107,41,2978,692
2016-03-15,60,17,0,73,109,99,28,2642,707
2016-03-16,71,34,0,66,130,104,52,2469,734
2016-03-17,69,41,0,62,114,103,25,2797,694
2016-03-18,71,32,0,46,118,89,37,2274,612
2016-03-19,57,28,0,63,121,74,41,2423,527
2016-03-20,59,22,0,67,185,89,41,2679,565
2016-03-21,74,21,0,51,199,84,53,2932,931
2016-03-22,63,25,0,72,159,78,38,2519,938
2016-03-23,51,24,0,55,127,93,30,3594,938
2016-03-24,55,37,0,66,159,225,25,2933,718
2016-03-25,57,25,0,39,125,114,38,2605,440
2016-03-26,58,35,0,46,126,98,39,2434,410
2016-03-27,59,32,0,56,152,74,47,2599,454
2016-03-28,68,28,0,56,146,132,46,2839,665
2016-03-29,68,34,0,51,122,100,33,2858,855
2016-03-30,56,27,0,68,142,130,39,2756,923
2016-03-31,78,33,0,57,134,88,45,2312,876
2016-04-01,63,27,0,51,126,110,31,2271,801
2016-04-02,69,30,0,59,124,89,61,2287,478
2016-04-03,72,44,0,60,131,90,41,3103,582
2016-04-04,64,40,0,62,119,119,34,2774,1142
2016-04-05,76,38,0,55,134,162,42,2841,1382
2016-04-06,65,32,0,83,146,140,38,2746,1093
2016-04-07,59,30,0,65,136,109,28,2741,1165
2016-04-08,67,32,0,45,109,104,24,2556,1032
2016-04-09,62,24,0,199,147,93,53,2362,517
2016-04-10,56,38,0,110,153,115,42,2915,894
2016-04-11,71,27,0,66,136,98,31,3027,1500
2016-04-12,60,34,0,54,110,111,54,2797,1580
2016-04-13,46,26,0,64,131,115,40,2704,1479
2016-04-14,64,24,0,60,124,119,37,2705,1647
2016-04-15,171,40,0,58,114,117,36,2475,1038
2016-04-16,60,32,0,42,114,125,50,2205,635
2016-04-17,68,50,0,97,142,137,46,2636,827
2016-04-18,75,32,0,54,127,103,39,2781,1325
2016-04-19,86,44,0,61,144,122,51,2799,1285
2016-04-20,60,37,0,66,125,119,59,2700,1375
2016-04-21,66,28,0,90,132,105,28,2985,1191
2016-04-22,64,20,0,43,137,92,41,2576,942
2016-04-23,55,47,0,60,114,69,55,2473,561
2016-04-24,68,44,0,64,160,91,41,2511,592
2016-04-25,65,26,0,64,138,93,33,2921,1152
2016-04-26,61,30,0,85,151,65,36,2922,1120
2016-04-27,54,38,0,68,138,94,24,2818,1092
2016-04-28,76,33,0,57,138,105,36,2743,1069
2016-04-29,54,31,0,85,148,82,32,2342,899
2016-04-30,66,29,0,135,121,65,40,2415,458
2016-05-01,51,23,0,111,120,105,36,2673,469
2016-05-02,65,37,0,112,135,103,45,2704,976
2016-05-03,73,25,0,84,178,97,50,2623,992
2016-05-04,62,20,0,75,138,101,33,2600,935
2016-05-05,53,34,0,69,96,87,40,3201,905
2016-05-06,52,29,0,64,115,88,33,2492,741
2016-05-07,73,29,0,64,119,94,57,2246,359
2016-05-08,58,25,0,54,104,90,49,2347,495
2016-05-09,79,23,0,98,109,90,54,2708,1793
2016-05-10,66,31,0,101,114,106,49,2758,1197
2016-05-11,71,30,0,63,132,102,28,2674,1470
2016-05-12,51,51,0,61,108,95,41,2684,998
2016-05-13,50,75,0,60,103,103,46,2279,1012
2016-05-14,64,67,0,53,142,97,48,2441,397
2016-05-15,51,62,0,68,126,92,61,2630,471
2016-05-16,64,37,0,60,130,99,42,2573,842
2016-05-17,60,36,0,95,132,109,55,2582,927
2016-05-18,60,49,0,56,130,122,40,2398,933
2016-05-19,71,39,0,50,147,110,32,2473,952
2016-05-20,46,33,0,90,120,83,42,2422,619
2016-05-21,53,51,0,83,158,106,55,2219,383
2016-05-22,54,60,0,67,125,97,40,2320,355
2016-05-23,58,69,0,58,112,88,46,2337,591
2016-05-24,64,38,0,69,120,111,30,2417,1077
2016-05-25,54,42,0,79,128,105,32,2375,1134
2016-05-26,71,49,0,82,113,116,37,2393,1073
2016-05-27,55,40,0,74,127,91,45,2200,921
2016-05-28,54,44,0,52,108,95,45,2083,378
2016-05-29,56,40,0,58,127,118,64,2013,629
2016-05-30,66,45,0,63,140,115,36,2201,1311
2016-05-31,64,27,0,69,158,98,62,2381,1278
2016-06-01,59,31,0,47,136,138,44,2254,1051
2016-06-02,54,38,0,65,108,132,54,2258,971
2016-06-03,68,39,0,60,136,109,37,2296,818
2016-06-04,57,66,0,80,175,94,59,17005,417
2016-06-05,80,122,0,77,130,119,42,6906,627
2016-06-06,55,65,0,67,148,110,38,4019,1230
2016-06-07,80,52,0,56,124,135,32,3375,1079
2016-06-08,69,81,0,60,120,108,57,3359,1241
2016-06-09,66,52,0,61,112,114,26,3176,1112
2016-06-10,44,29,0,49,131,115,39,4155,986
2016-06-11,45,47,0,55,141,88,48,3569,468
2016-06-12,56,33,0,41,165,88,40,3530,539
2016-06-13,61,34,0,62,153,95,43,2816,921
2016-06-14,73,33,0,46,160,118,40,3061,1015
2016-06-15,58,44,0,55,135,122,35,2703,932
2016-06-16,67,66,0,53,128,120,31,2461,911
2016-06-17,42,40,0,66,111,91,33,2370,710
2016-06-18,48,90,0,50,147,105,37,2389,330
2016-06-19,74,76,0,39,222,121,36,2845,492
2016-06-20,48,33,0,46,206,110,33,2508,854
2016-06-21,62,54,0,54,251,168,48,2506,1179
2016-06-22,46,25,0,47,210,150,51,2439,1317
2016-06-23,49,92,0,71,229,117,43,2300,764
2016-06-24,29,33,0,53,172,112,39,2127,499
2016-06-25,40,36,0,53,195,91,45,2027,327
2016-06-26,65,42,0,46,201,95,55,2670,352
2016-06-27,55,42,0,48,220,107,60,2227,555
2016-06-28,61,36,0,43,229,131,51,2341,712
2016-06-29,59,36,0,71,204,98,31,2207,584
2016-06-30,57,42,0,33,187,102,33,2045,306
2016-07-01,57,39,0,48,186,136,31,2048,471
2016-07-02,41,38,0,59,186,119,29,2189,358
2016-07-03,59,33,0,53,184,128,45,2294,298
2016-07-04,56,33,0,41,213,90,46,2127,344
2016-07-05,67,46,0,55,195,84,47,1915,385
2016-07-06,71,54,0,48,198,130,43,1758,2703
2016-07-07,51,95,0,51,167,216,58,1863,908
2016-07-08,47,143,0,42,187,245,38,2045,400
2016-07-09,57,124,0,41,182,138,50,3689,350
2016-07-10,58,56,0,54,182,178,60,2505,1322
2016-07-11,52,53,0,46,217,141,57,2313,746
2016-07-12,59,53,0,63,240,177,41,2281,581
2016-07-13,46,39,0,47,244,92,46,2431,447
2016-07-14,50,35,0,60,223,115,26,2438,409
2016-07-15,46,40,0,48,171,101,41,2426,333
2016-07-16,42,32,0,95,174,70,42,2511,268
2016-07-17,56,38,0,109,215,95,44,2677,465
2016-07-18,32,65,0,70,221,99,32,2613,564
2016-07-19,74,46,0,69,210,116,28,2542,411
2016-07-20,42,45,0,47,186,73,35,2771,411
2016-07-21,152,38,0,50,163,112,33,2651,423
2016-07-22,67,41,0,58,151,104,38,2570,357
2016-07-23,53,38,0,63,102,95,26,2597,577
2016-07-24,61,45,0,56,137,101,47,2761,326
2016-07-25,53,41,0,62,150,69,65,2670,325
2016-07-26,67,37,0,68,132,103,49,2687,354
2016-07-27,61,28,0,66,101,101,53,2633,393
2016-07-28,54,43,0,48,117,92,35,2690,344
2016-07-29,71,35,0,57,132,71,43,2449,328
2016-07-30,57,48,0,55,128,88,35,2665,280
2016-07-31,67,38,0,49,109,103,57,2835,358
2016-08-01,70,52,0,97,136,103,40,2950,371
2016-08-02,59,46,0,68,132,97,42,3068,365
2016-08-03,60,66,0,80,135,93,37,2956,388
2016-08-04,54,43,0,49,110,89,41,2986,370
2016-08-05,57,56,0,71,126,125,39,2688,337
2016-08-06,64,39,0,81,111,80,37,2831,712
2016-08-07,57,46,0,60,109,89,39,3279,310
2016-08-08,63,77,0,63,106,105,32,3453,369
2016-08-09,60,62,0,65,109,96,22,3451,455
2016-08-10,38,44,0,71,98,93,43,3849,735
2016-08-11,52,56,0,52,124,115,36,3956,681
2016-08-12,65,44,0,61,95,142,30,3923,280
2016-08-13,61,44,0,49,120,141,22,5736,238
2016-08-14,58,58,0,46,118,148,46,10301,253
2016-08-15,47,50,0,40,131,171,45,10662,340
2016-08-16,50,60,0,48,123,151,39,6019,627
2016-08-17,44,37,0,47,115,144,44,4319,404
2016-08-18,56,39,0,43,109,153,34,3528,309
2016-08-19,60,53,0,55,120,126,41,3072,255
2016-08-20,56,37,0,38,116,150,40,3336,258
2016-08-21,68,41,0,66,110,159,41,3687,447
2016-08-22,44,42,0,49,102,139,36,3242,708
2016-08-23,60,50,0,64,108,122,43,3476,785
2016-08-24,56,76,0,76,125,160,34,3817,764
2016-08-25,57,66,0,90,103,120,48,3382,678
2016-08-26,53,54,0,90,111,148,86,3115,369
2016-08-27,39,65,0,58,119,123,153,3099,308
2016-08-28,54,62,0,56,100,136,124,3259,348
2016-08-29,65,40,0,65,110,122,168,3429,390
2016-08-30,67,36,0,69,93,154,450,3145,343
2016-08-31,60,41,0,76,107,131,258,3280,519
2016-09-01,63,51,0,59,91,144,136,2981,296
2016-09-02,65,42,0,61,105,130,337,2963,373
2016-09-03,47,38,0,46,103,111,398,2990,273
2016-09-04,53,60,0,53,96,119,473,3215,250
2016-09-05,79,56,0,58,111,124,657,3334,384
2016-09-06,59,49,0,69,114,133,541,3220,413
2016-09-07,42,67,0,41,92,116,482,3010,417
2016-09-08,58,39,0,45,102,99,458,2847,561
2016-09-09,55,51,0,57,115,114,395,2784,1538
2016-09-10,54,72,0,61,108,108,547,3289,1071
2016-09-11,68,62,0,60,111,106,606,6172,713
2016-09-12,71,51,0,47,108,125,508,3232,795
2016-09-13,56,102,0,55,128,133,419,2223,826
2016-09-14,66,81,0,49,103,97,403,2453,830
2016-09-15,61,69,0,66,92,143,378,2537,896
2016-09-16,60,38,0,58,103,118,397,2277,688
2016-09-17,43,69,0,58,116,90,553,2442,462
2016-09-18,64,86,0,69,110,87,561,2784,656
2016-09-19,75,54,0,55,110,111,474,3132,762
2016-09-20,82,72,0,45,104,121,387,3327,1195
2016-09-21,46,89,0,53,76,101,353,3407,961
2016-09-22,471,73,0,215,221,805,308,3997,970
2016-09-23,58,71,0,53,119,111,288,3738,1074
2016-09-24,52,60,0,61,111,120,325,3298,550
2016-09-25,59,74,0,54,112,151,381,4098,590
2016-09-26,80,56,0,62,140,122,315,3837,1153
2016-09-27,41,111,0,37,122,139,233,3677,1331
2016-09-28,54,81,0,64,113,115,273,3668,1578
2016-09-29,67,77,0,63,115,133,229,4385,2135
2016-09-30,42,54,0,68,122,100,264,4331,3238
2016-10-01,33,48,0,43,122,128,308,4493,1719
2016-10-02,56,54,0,61,107,112,276,6621,928
2016-10-03,39,49,0,82,110,107,203,5720,1862
2016-10-04,44,45,0,65,130,127,180,12666,1481
2016-10-05,70,37,0,58,95,149,112,4873,1290
2016-10-06,52,52,0,56,98,108,109,4636,1035
2016-10-07,50,57,0,73,106,126,158,4191,902
2016-10-08,39,49,0,50,102,104,181,4049,502
2016-10-09,61,36,0,47,109,231,159,4200,507
2016-10-10,73,53,0,53,77,128,178,3984,643
2016-10-11,62,40,0,70,103,119,118,3741,1296
2016-10-12,58,59,0,70,105,149,113,3741,1021
2016-10-13,54,59,0,76,97,133,122,3323,1154
2016-10-14,59,58,0,48,107,134,104,3235,1732
2016-10-15,43,55,0,48,99,109,126,3137,1001
2016-10-16,73,45,0,63,117,135,143,3528,939
2016-10-17,54,49,0,44,130,160,169,3189,1407
2016-10-18,48,49,0,62,104,123,143,3219,1589
2016-10-19,59,54,0,51,120,121,110,3091,1511
2016-10-20,50,102,0,55,100,108,97,3009,1403
2016-10-21,41,66,0,50,97,108,104,2775,1079
2016-10-22,55,51,0,44,81,93,123,2900,946
2016-10-23,58,49,0,43,128,116,158,3143,1063
2016-10-24,54,82,0,73,104,114,132,3582,2978
2016-10-25,66,106,0,63,118,111,113,3942,1633
2016-10-26,56,110,0,60,97,75,101,3633,1488
2016-10-27,87,79,0,51,119,107,98,3313,1365
2016-10-28,52,92,0,67,111,109,97,2820,1211
2016-10-29,37,149,0,45,94,74,133,2663,704
2016-10-30,63,192,0,64,105,106,106,3007,875
2016-10-31,44,132,0,63,97,111,111,3437,1264
2016-11-01,80,133,0,59,103,110,78,3334,1347
2016-11-02,59,158,0,72,99,88,71,3175,1427
2016-11-03,54,125,0,54,72,88,77,3124,1363
2016-11-04,36,143,0,60,98,115,82,2962,1104
2016-11-05,50,138,0,52,87,90,113,2810,575
2016-11-06,46,146,0,42,113,115,135,3139,1239
2016-11-07,49,156,0,64,102,147,85,3245,3756
2016-11-08,58,134,0,72,123,187,64,3294,1501
2016-11-09,52,107,0,62,72,94,44,3505,1247
2016-11-10,55,106,0,59,98,92,66,3159,1197
2016-11-11,53,94,0,60,107,74,79,3479,769
2016-11-12,45,107,0,61,113,64,59,3672,688
2016-11-13,53,123,0,51,104,75,81,3186,824
2016-11-14,62,145,0,56,125,103,77,3641,1324
2016-11-15,60,102,0,83,122,93,74,3265,1651
2016-11-16,46,118,0,62,123,94,64,3327,1734
2016-11-17,136,122,0,46,120,127,81,3147,1502
2016-11-18,57,136,0,59,155,120,58,3009,1092
2016-11-19,60,150,0,73,157,96,87,2753,884
2016-11-20,61,149,0,77,129,88,94,3031,958
2016-11-21,59,140,0,77,138,112,99,3827,1589
2016-11-22,67,113,0,65,139,126,71,3488,1399
2016-11-23,41,122,0,60,116,96,83,3174,1481
2016-11-24,56,131,0,56,163,106,66,3154,1514
2016-11-25,42,124,0,43,274,83,70,2938,1205
2016-11-26,47,101,0,55,188,85,185,2971,725
2016-11-27,56,71,0,50,208,100,101,3648,960
2016-11-28,60,50,0,58,169,136,129,3419,1422
2016-11-29,67,46,0,46,142,119,114,3245,1522
2016-11-30,51,50,0,55,139,92,83,3298,1497
2016-12-01,57,56,0,73,128,114,105,3103,1450
2016-12-02,49,38,0,65,140,89,84,2748,1131
2016-12-03,57,48,0,53,147,232,72,2790,680
