Date,"Galaxy Science Fiction","Chad Harris-Crane","Guilden Morden boar","Musca","Blast Corps","Mortimer Wheeler","The American Bible Challenge","Muhammad Ali Jinnah","Canadian Indian residential school system"
2018-05-14,55,34,24,97,118,96,74,4139,898
2018-05-15,106,17,20,75,112,142,73,3543,957
2018-05-16,58,38,25,67,135,109,66,3106,1158
2018-05-17,41,37,20,73,91,128,61,3124,1140
2018-05-18,35,19,30,56,99,111,49,3060,773
2018-05-19,43,28,15,53,106,74,65,2776,530
2018-05-20,58,29,18,59,112,86,67,3121,570
2018-05-21,55,46,20,57,98,91,79,3025,623
2018-05-22,65,28,23,77,99,122,58,2918,1006
2018-05-23,73,45,30,71,181,93,56,2883,920
2018-05-24,137,57,28,70,146,94,62,3026,921
2018-05-25,58,37,14,106,112,76,52,2581,914
2018-05-26,42,27,20,64,121,72,43,2527,538
2018-05-27,36,41,16,44,104,120,71,2923,691
2018-05-28,52,40,20,45,106,103,86,2858,1036
2018-05-29,56,37,18,45,142,111,82,2927,1171
2018-05-30,77,38,21,53,114,94,66,2736,1136
2018-05-31,55,33,24,66,116,85,65,2933,1027
2018-06-01,57,40,1097,51,109,103,53,2815,816
2018-06-02,48,32,193,44,100,88,75,2640,509
2018-06-03,62,27,114,49,88,104,63,2737,556
2018-06-04,50,37,76,41,141,116,61,2646,1280
2018-06-05,43,38,33,56,122,115,80,2490,1079
2018-06-06,265,29,23,68,129,104,70,2559,1088
2018-06-07,78,38,41,61,122,106,87,2733,967
2018-06-08,61,46,23,57,113,94,64,2588,753
2018-06-09,50,26,21,54,119,96,54,2544,569
2018-06-10,57,23,20,268,122,125,83,2512,616
2018-06-11,37,33,35,101,145,119,54,2498,4609
2018-06-12,55,24,26,76,133,101,64,2572,1307
2018-06-13,62,32,22,70,106,202,60,2366,1022
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,58,42,18,65,100,109,81,35660,1824
2018-06-16,37,44,11,47,108,120,71,15899,787
2018-06-17,46,40,20,52,101,148,60,2917,671
