Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2018-05-09,170,17,10,262,3,87,4474,24,13
2018-05-10,174,34,17,303,8,71,4756,34,19
2018-05-11,169,30,12,584,5,94,4552,10,23
2018-05-12,132,21,12,943,5,81,7827,3,12
2018-05-13,145,36,25,1303,6,98,6738,7,34
2018-05-14,167,35,7,1159,9,74,4447,4,27
2018-05-15,166,30,13,1326,5,66,5270,4,27
2018-05-16,188,43,19,1404,9,61,4940,14,24
2018-05-17,195,27,18,1360,5,87,4498,5,35
2018-05-18,163,17,24,1136,10,68,5292,7,24
2018-05-19,255,21,10,1160,10,53,5183,7,19
2018-05-20,143,16,17,1190,6,57,8047,9,8
2018-05-21,215,34,19,1158,10,72,5329,10,28
2018-05-22,201,15,16,945,12,81,4329,10,22
2018-05-23,209,34,19,825,14,79,4416,13,40
2018-05-24,227,42,16,788,13,76,4297,11,21
2018-05-25,130,22,6,762,4,72,5105,2,20
2018-05-26,100,17,9,849,5,65,10325,7,11
2018-05-27,148,13,8,864,10,66,7366,7,18
2018-05-28,181,18,20,769,6,76,8447,11,26
2018-05-29,200,30,11,747,13,67,9642,7,24
2018-05-30,235,19,7,708,11,79,6606,15,25
2018-05-31,172,21,12,672,4,77,5388,6,24
2018-06-01,135,20,17,585,8,59,4829,11,16
2018-06-02,131,24,14,652,9,51,5726,6,30
2018-06-03,143,21,15,697,11,74,8131,8,21
2018-06-04,193,12,10,662,4,110,5372,5,23
2018-06-05,182,19,9,516,12,68,5803,6,31
2018-06-06,186,32,12,499,9,63,6000,10,22
2018-06-07,213,24,14,426,14,65,5673,10,22
2018-06-08,129,29,17,456,8,71,5572,21,16
2018-06-09,132,16,18,504,6,57,8824,7,19
2018-06-10,161,17,7,474,3,56,10414,4,15
2018-06-11,170,17,8,424,4,65,6297,6,33
2018-06-12,168,25,6,380,7,80,5406,5,23
2018-06-13,176,33,8,386,5,82,5401,7,15
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,132,18,10,333,13,54,9827,6,16
2018-06-16,144,22,14,392,5,53,18944,4,12
2018-06-17,157,18,15,413,23,48,11235,7,18
