Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2015-12-20,178,43,0,318,2,49,6206,1,7
2015-12-21,181,48,0,374,1,43,4864,2,8
2015-12-22,170,52,0,328,1,57,5680,0,12
2015-12-23,120,46,3,275,2,51,4500,1,6
2015-12-24,89,37,0,323,2,45,5194,1,13
2015-12-25,127,35,3,314,0,34,7355,1,9
2015-12-26,123,36,2,285,3,56,8289,2,10
2015-12-27,136,46,2,352,4,53,9334,6,6
2015-12-28,128,66,3,391,1,56,8027,0,10
2015-12-29,276,54,2,372,1,51,6357,1,12
2015-12-30,165,55,4,391,1,78,6743,2,8
2015-12-31,129,45,3,413,2,57,6247,3,8
2016-01-01,308,40,2,378,1,39,14496,1,11
2016-01-02,134,43,3,418,0,46,11869,46,14
2016-01-03,151,36,2,329,2,39,10131,3,5
2016-01-04,214,49,2,353,1,62,6366,47,10
2016-01-05,254,42,6,275,1,63,5468,23,5
2016-01-06,317,39,1,279,3,79,6222,8,11
2016-01-07,270,36,1,350,2,63,5850,13,10
2016-01-08,309,38,0,295,0,74,8324,8,11
2016-01-09,463,27,2,303,3,53,6579,8,11
2016-01-10,223,37,3,331,0,48,7678,5,5
2016-01-11,274,25,5,336,1,67,6458,0,7
2016-01-12,309,37,3,259,3,76,6127,2,13
2016-01-13,375,31,0,262,5,84,5109,4,4
2016-01-14,300,25,3,253,2,80,7055,2,8
2016-01-15,224,32,3,249,1,82,5699,8,9
2016-01-16,158,22,1,267,1,63,7419,3,5
2016-01-17,174,25,4,286,1,81,14552,4,5
2016-01-18,283,29,2,326,3,69,8296,6,9
2016-01-19,280,26,2,380,1,61,6683,6,15
2016-01-20,336,32,8,469,5,56,8174,7,7
2016-01-21,309,53,2,689,2,73,6498,11,54
2016-01-22,315,19,2,528,3,66,6026,8,17
2016-01-23,184,36,3,363,5,67,8476,7,65
2016-01-24,272,40,2,348,9,69,8336,4,94
2016-01-25,336,32,3,390,10,84,7845,24,175
2016-01-26,390,19,5,2710,6,72,15512,16,367
2016-01-27,360,30,1,3849,9,88,59208,3,79
2016-01-28,374,38,0,2616,7,75,14885,1,68
2016-01-29,306,32,2,3191,8,81,52988,2349,33
2016-01-30,203,38,2,3765,4478,49,34056,32,39
2016-01-31,246,26,3,3316,112,49,24909,8,71
2016-02-01,380,27,1,4656,46,57,15294,3,47
2016-02-02,394,30,1,5253,55,61,15842,1,20
2016-02-03,345,30,2,2899,13,56,13311,2,72
2016-02-04,362,39,4,2430,21,66,10158,3,38
2016-02-05,291,23,1,1830,13,71,9590,1,24
2016-02-06,420,19,4,1335,15,44,11528,2,23
2016-02-07,222,25,3,1192,22,49,11488,1,27
2016-02-08,346,28,2,1045,22,69,10562,3,16
2016-02-09,334,33,6,908,10,57,9824,2,18
2016-02-10,303,38,2,728,4,85,8061,0,28
2016-02-11,323,21,2,809,19,65,6459,0,13
2016-02-12,295,35,0,920,12,63,6438,3,15
2016-02-13,191,20,3,839,7,55,8014,1,14
2016-02-14,188,31,4,837,7,48,8699,1,22
2016-02-15,283,43,5,864,13,53,6763,0,18
2016-02-16,298,27,3,966,9,49,5717,3,21
2016-02-17,335,33,2,726,8,62,5305,1,18
2016-02-18,338,37,10,593,8,90,5417,1,24
2016-02-19,305,36,2,935,8,55,8273,3,16
2016-02-20,201,27,3,852,11,46,9889,0,17
2016-02-21,249,20,2,708,11,64,8917,0,24
2016-02-22,337,32,1,643,38,63,6092,3,29
2016-02-23,366,26,2,749,6,70,8270,5,17
2016-02-24,304,26,2,665,13,76,4640,1,24
2016-02-25,328,33,2,657,7,71,6231,0,32
2016-02-26,281,24,5,773,10,57,5366,1,24
2016-02-27,201,31,4,730,11,81,6031,3,12
2016-02-28,255,32,2,609,9,52,6957,1,15
2016-02-29,350,39,8,612,22,62,8173,1,23
2016-03-01,302,34,1,616,11,54,4780,3,16
2016-03-02,354,29,0,672,16,62,4519,0,9
2016-03-03,353,23,2,708,9,56,5430,0,10
2016-03-04,264,24,0,731,6,59,7628,2,11
2016-03-05,213,42,4,482,10,47,7655,1,12
2016-03-06,213,23,3,495,9,59,6740,3,12
2016-03-07,284,18,1,849,2,58,5279,3,16
2016-03-08,304,27,3,721,6,52,4290,2,13
2016-03-09,296,35,3,640,9,81,4604,0,17
2016-03-10,308,27,1,1090,4,51,4441,2,11
2016-03-11,220,27,3,1592,15,65,5376,2,21
