Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2018-02-20,2021,36413,2098,429,869,224,8,23,37
2018-02-21,1857,36734,1780,473,872,238,9,23,20
2018-02-22,1893,34608,2084,489,803,237,15,35,44
2018-02-23,2071,29839,1804,465,769,234,15,30,27
2018-02-24,2282,48341,1710,300,869,317,10,30,34
2018-02-25,2037,38971,2037,423,1039,461,26,49,42
2018-02-26,2047,124099,2032,543,950,609,10,26,28
2018-02-27,2155,73030,1876,538,907,269,6,28,36
2018-02-28,2012,64253,2020,533,897,698,7,30,19
2018-03-01,1950,50565,1864,570,883,269,9,32,32
2018-03-02,2055,76916,1683,569,822,310,9,28,35
2018-03-03,2162,85680,1720,366,780,231,13,32,23
2018-03-04,2075,68343,2166,369,1042,224,11,33,29
2018-03-05,1950,147668,2030,521,1032,266,6,28,33
2018-03-06,2004,57512,1826,508,994,252,8,31,38
2018-03-07,1892,40883,2474,542,882,269,6,24,30
2018-03-08,2035,36308,1842,544,827,269,12,33,35
2018-03-09,2150,34239,1730,520,839,460,9,33,26
2018-03-10,1946,33487,1751,349,772,198,4,28,28
2018-03-11,2056,43128,1874,419,854,225,2,33,22
2018-03-12,1945,28981,1977,569,907,270,9,26,42
2018-03-13,1909,22478,1725,483,863,262,2,30,37
2018-03-14,1929,20824,1747,556,760,268,6,36,35
2018-03-15,1664,19861,1593,555,829,210,8,59,22
2018-03-16,1783,19506,1687,461,721,281,7,28,27
2018-03-17,1715,23774,1790,318,759,205,7,30,56
2018-03-18,1713,24291,1868,362,877,180,5,48,40
2018-03-19,1803,19178,1884,491,976,247,12,38,38
2018-03-20,1699,17046,1974,562,907,254,4,39,49
2018-03-21,1816,17471,1991,501,920,253,10,38,38
2018-03-22,1868,16574,1774,508,848,219,43,69,53
2018-03-23,1922,15959,1795,416,783,220,7,31,40
2018-03-24,1967,19040,1705,297,776,187,8,35,37
2018-03-25,1772,20247,1947,356,908,225,8,34,17
2018-03-26,1763,15301,1840,489,887,233,8,26,32
2018-03-27,1751,13940,1855,540,891,220,7,30,27
2018-03-28,1846,13087,1885,500,826,210,9,28,36
2018-03-29,1762,12719,1682,630,958,208,4,22,29
2018-03-30,1564,14709,1662,435,947,185,9,39,49
2018-03-31,1776,13212,1667,341,953,196,6,31,20
2018-04-01,1821,15518,1829,348,1272,192,6,30,41
2018-04-02,1820,14507,1891,430,1122,236,9,37,23
2018-04-03,1752,16022,2109,474,1036,244,10,32,44
2018-04-04,1612,12013,1663,457,1058,632,8,27,43
2018-04-05,1628,11599,1661,627,972,203,7,26,26
2018-04-06,1483,11641,1664,642,859,205,10,27,38
2018-04-07,1516,12884,1949,470,889,167,5,24,30
2018-04-08,1530,13945,2211,510,907,216,5,22,63
2018-04-09,1742,12286,1953,575,905,264,7,40,32
2018-04-10,1561,10707,2216,582,807,257,7,27,35
2018-04-11,1630,11068,2028,651,920,266,8,45,41
2018-04-12,1623,9648,1859,734,877,283,17,49,37
2018-04-13,1622,10256,1464,633,791,277,5,22,24
2018-04-14,1603,11633,1195,420,792,206,14,40,25
2018-04-15,1621,17578,1383,518,893,473,10,31,25
2018-04-16,1748,16177,1313,586,849,487,7,30,33
2018-04-17,1863,14176,1887,586,865,383,16,30,51
2018-04-18,1771,15273,1486,541,832,363,12,31,27
2018-04-19,1748,13681,1311,563,792,336,7,26,40
2018-04-20,1629,13810,1238,489,884,304,12,32,32
2018-04-21,1823,15461,1155,363,1048,367,2,28,37
2018-04-22,1614,17216,1386,373,1679,328,7,25,34
2018-04-23,1537,13871,1780,586,1287,347,4,26,34
2018-04-24,1525,12742,1544,668,1082,382,4,24,47
2018-04-25,1567,12097,2517,546,1247,639,8,33,39
2018-04-26,1601,12279,1771,558,2641,827,7,23,26
2018-04-27,1723,12537,1558,462,1759,440,5,20,27
2018-04-28,1640,13595,1395,299,1276,398,4,27,24
2018-04-29,1661,15291,1398,396,1371,443,7,30,11
2018-04-30,1734,12783,1414,661,1386,446,2,26,30
2018-05-01,1569,13289,1481,597,1196,450,6,24,45
2018-05-02,1605,11331,1674,562,1063,404,2,29,63
2018-05-03,1540,10468,1527,742,2614,345,10,22,77
2018-05-04,1388,10320,1303,584,1029,237,7,20,95
2018-05-05,1463,12676,1359,451,875,220,11,20,60
2018-05-06,1453,13467,1303,460,985,251,3,26,57
2018-05-07,1389,11609,1406,648,1088,309,9,21,59
2018-05-08,1429,10717,1395,576,1230,273,4,19,64
2018-05-09,1338,12156,1371,545,1062,227,4,17,70
2018-05-10,1426,12747,1295,758,1245,282,8,28,83
2018-05-11,1287,13464,1182,618,901,272,5,17,79
2018-05-12,1347,13807,1586,355,898,233,1,24,73
2018-05-13,1184,15723,1359,430,2334,256,11,31,120
2018-05-14,1400,14735,1447,714,7007,255,4,32,107
2018-05-15,1262,13505,1311,733,1997,219,6,23,94
2018-05-16,1220,13028,1337,626,1526,243,9,37,85
2018-05-17,1072,12132,1401,666,1130,286,10,39,75
2018-05-18,1043,12351,1457,595,938,222,5,22,78
2018-05-19,1138,14378,2461,352,880,244,8,27,130
2018-05-20,1127,15786,2488,381,1001,784,16,19,189
2018-05-21,1305,14389,2025,674,987,349,15,28,113
2018-05-22,1264,12678,1761,643,1002,327,7,32,159
2018-05-23,1285,12651,1603,603,856,209,15,31,140
2018-05-24,1190,12489,1498,700,880,250,9,37,130
2018-05-25,1162,12812,1794,776,815,176,1,30,234
2018-05-26,1230,15083,1257,690,752,162,4,22,247
2018-05-27,1310,18228,1828,891,923,243,5,21,193
2018-05-28,1199,17034,1633,939,967,228,4,26,153
2018-05-29,1382,14030,1435,936,985,251,3,21,87
2018-05-30,1399,12354,1661,991,1349,206,9,39,80
2018-05-31,1335,13131,1652,815,952,258,8,37,58
2018-06-01,1402,13093,1343,842,1019,240,10,24,61
2018-06-02,1355,14554,1350,669,898,218,10,36,48
2018-06-03,1349,19560,1403,600,954,232,9,31,55
2018-06-04,1463,15055,1495,590,934,317,9,34,58
2018-06-05,1244,12506,1422,647,872,441,4,29,38
2018-06-06,1623,13210,1267,607,898,339,7,22,43
2018-06-07,1488,12086,1289,714,851,300,7,40,32
2018-06-08,1594,11688,1340,662,802,300,10,31,38
2018-06-09,1632,15212,1171,526,811,14652,4,29,30
2018-06-10,1478,19793,1508,556,872,5447,5,37,42
2018-06-11,1591,14760,1308,621,912,480,5,22,36
2018-06-12,1248,11312,1554,586,767,523,6,23,28
2018-06-13,1427,11522,1455,553,784,733,7,29,22
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,1717,10480,1358,468,809,302,7,32,29
2018-06-16,1643,12508,1207,433,847,247,5,31,17
2018-06-17,1784,14842,1217,543,832,334,11,29,25
