Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2016-02-10,2696,11987,2362,705,462,209,14,40,61
2016-02-11,2843,11877,1976,751,484,179,9,23,65
2016-02-12,2652,11934,1927,591,423,115,14,23,58
2016-02-13,2631,15059,2005,388,388,106,8,25,64
2016-02-14,2617,16909,2902,466,409,105,8,17,73
2016-02-15,2599,16379,2400,569,466,156,14,25,85
2016-02-16,2477,13851,1925,726,446,145,8,20,87
2016-02-17,2698,12016,1819,763,438,199,7,20,144
2016-02-18,3022,13075,1795,730,510,143,7,23,126
2016-02-19,2660,12934,1744,689,480,182,15,23,159
2016-02-20,2708,14160,1680,598,437,111,9,18,84
2016-02-21,2745,16468,1907,670,469,165,25,33,100
2016-02-22,2785,13616,1854,843,508,154,6,26,98
2016-02-23,2519,12704,2240,939,537,211,8,20,53
2016-02-24,2601,15273,1924,991,436,157,3,19,71
2016-02-25,2757,15587,1677,893,485,152,7,22,77
2016-02-26,2694,15471,1604,697,438,147,11,30,45
2016-02-27,2895,18231,1636,499,432,100,11,28,68
2016-02-28,2705,30749,2144,556,483,107,11,34,133
2016-02-29,2563,76768,1789,723,503,207,12,37,94
2016-03-01,2405,27056,1815,773,529,140,6,21,59
2016-03-02,2446,18080,1640,738,478,145,4,19,75
2016-03-03,2423,16166,1709,844,461,165,6,25,74
2016-03-04,2172,15777,1910,654,423,129,8,15,101
2016-03-05,2356,16743,1607,438,352,116,13,29,72
2016-03-06,2420,21489,1714,528,427,123,13,17,123
2016-03-07,2597,15666,1791,725,490,155,10,28,108
2016-03-08,2349,14984,1697,954,488,154,13,24,104
2016-03-09,2376,14755,1606,662,563,144,10,27,95
2016-03-10,2210,14089,1504,734,473,130,8,31,80
2016-03-11,2018,15923,1555,693,434,98,4,22,81
2016-03-12,2094,21128,1409,436,386,98,21,27,121
2016-03-13,2328,21936,1725,481,459,103,4,26,170
2016-03-14,2187,16640,1809,695,457,119,5,22,86
2016-03-15,2245,14374,1752,726,710,134,11,37,101
2016-03-16,2149,15924,1829,855,738,131,8,15,73
2016-03-17,2353,17297,1899,687,575,217,8,22,73
2016-03-18,2073,16484,1792,573,491,116,6,20,72
2016-03-19,2300,16835,1546,474,428,84,6,24,99
2016-03-20,2382,17539,1813,574,508,97,5,14,86
2016-03-21,2281,14795,1797,655,470,100,8,29,104
2016-03-22,2210,14396,1652,666,478,151,4,23,109
2016-03-23,2208,14809,2158,657,515,121,4,20,106
2016-03-24,2244,15558,1915,626,474,121,7,17,93
2016-03-25,2266,18046,1869,444,513,106,3,19,122
2016-03-26,2352,19804,1751,478,549,114,7,16,105
2016-03-27,2323,22629,1883,527,617,117,8,31,113
2016-03-28,2265,19095,2600,685,644,183,14,17,123
2016-03-29,2263,15211,1994,763,493,115,11,18,101
2016-03-30,2357,15741,1778,705,425,155,10,25,85
2016-03-31,2289,13678,1957,682,383,121,13,26,74
2016-04-01,2207,14382,1962,626,427,117,11,20,51
2016-04-02,2196,16908,1662,470,382,194,11,28,82
2016-04-03,2448,17714,2002,501,406,157,11,29,96
2016-04-04,2635,13029,2119,690,458,124,10,16,97
2016-04-05,2193,13559,1839,715,451,135,11,21,83
2016-04-06,2242,11559,2004,735,482,132,13,22,92
2016-04-07,2331,12177,2213,861,466,140,9,19,108
2016-04-08,2356,14500,1931,687,369,94,6,16,107
2016-04-09,2422,15605,2342,540,403,89,14,29,114
2016-04-10,2447,18008,2302,536,421,128,17,28,116
2016-04-11,2309,15983,2560,759,464,161,11,25,82
2016-04-12,2341,12469,2396,785,488,111,9,23,75
2016-04-13,2305,14483,2133,740,484,140,10,20,89
2016-04-14,2382,15342,2688,898,494,124,12,14,64
2016-04-15,2267,13080,2193,644,377,126,10,26,67
2016-04-16,2189,13122,1894,560,403,82,9,25,75
2016-04-17,2226,13713,2209,562,465,104,7,23,83
2016-04-18,2120,11688,2511,935,487,157,11,28,81
2016-04-19,2141,10422,2168,818,468,137,9,24,78
2016-04-20,2031,10320,2410,1111,516,110,8,21,102
2016-04-21,2365,10651,4750,850,553,100,9,22,108
2016-04-22,2273,11035,2798,721,678,119,14,23,116
2016-04-23,2239,12248,4797,501,490,109,5,34,67
2016-04-24,2184,13107,3959,618,471,128,12,29,129
2016-04-25,2294,13844,7456,791,747,130,2,30,106
2016-04-26,2076,15052,8311,909,1238,124,8,33,100
2016-04-27,2145,12447,6617,780,858,104,12,21,96
2016-04-28,2252,12044,6567,742,789,119,9,27,108
2016-04-29,2046,12739,5851,702,535,99,6,14,125
2016-04-30,2462,15918,6061,443,564,83,7,24,104
2016-05-01,2395,19767,8856,560,580,85,3,20,149
2016-05-02,2275,16462,7889,859,505,131,12,22,166
2016-05-03,2325,13258,3547,918,452,132,10,27,203
2016-05-04,2043,11845,2811,840,393,115,16,33,224
2016-05-05,2121,12310,2466,858,468,136,12,25,271
2016-05-06,2110,12571,2417,706,406,126,12,32,467
2016-05-07,2289,15855,3408,478,309,96,7,27,358
2016-05-08,2198,16650,3841,552,435,112,10,28,229
2016-05-09,2221,16104,2985,1077,512,137,21,23,176
2016-05-10,2099,19047,2970,994,612,114,10,20,302
2016-05-11,2048,16759,2808,885,462,127,21,22,286
2016-05-12,2251,15076,2385,898,483,133,7,19,457
2016-05-13,2202,37359,2359,877,381,117,6,28,418
2016-05-14,2097,37145,3186,477,415,99,11,28,329
2016-05-15,2167,32551,3966,602,382,99,10,21,282
2016-05-16,2204,29559,2979,942,453,107,2,21,142
2016-05-17,2158,22702,2880,954,419,125,11,22,193
2016-05-18,2084,20882,2511,949,384,151,8,29,221
2016-05-19,2225,21411,2596,1030,351,219,11,25,204
2016-05-20,2088,27503,2191,811,399,231,8,18,240
2016-05-21,2239,33962,3777,537,362,124,15,22,635
2016-05-22,2095,34097,3710,638,429,102,6,31,465
2016-05-23,2180,25211,2938,808,453,140,12,30,298
2016-05-24,2242,31891,3176,899,401,114,6,26,367
2016-05-25,2204,24202,2473,849,457,152,16,23,273
2016-05-26,2347,20945,2332,880,422,119,18,27,276
2016-05-27,2447,24264,2874,722,337,112,6,24,508
2016-05-28,2213,24932,2126,715,346,67,10,37,903
2016-05-29,2320,25878,3019,788,371,71,6,20,714
2016-05-30,2374,25889,3080,866,367,94,10,23,415
2016-05-31,2273,21442,2464,855,380,104,8,34,260
2016-06-01,2225,18658,2251,1046,408,118,12,29,181
2016-06-02,2507,16854,2244,1016,366,110,21,21,146
2016-06-03,2470,17974,1934,804,374,115,8,22,126
2016-06-04,2355,22917,2152,732,316,103,9,27,93
2016-06-05,2200,22900,2208,1006,416,107,10,28,144
2016-06-06,1864,18978,1968,2150,385,98,14,18,121
2016-06-07,1758,16650,2568,2732,378,83,10,36,144
2016-06-08,1752,15701,2342,1203,382,96,9,34,190
2016-06-09,1931,14221,2306,850,395,103,6,18,144
2016-06-10,1898,16688,1967,783,430,90,8,16,106
2016-06-11,2016,16663,1977,556,355,76,13,19,118
2016-06-12,2227,18431,2667,627,437,92,4,20,125
2016-06-13,2170,16909,2289,747,511,112,12,30,110
2016-06-14,2108,14771,2426,622,562,96,12,25,120
