Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2016-07-13,8,111,1306,152,1099,41,410,10,139
2016-07-14,11,90,1267,307,1223,43,270,6,158
2016-07-15,9,71,1204,189,1043,35,239,13,140
2016-07-16,8,74,1445,209,980,35,320,9,153
2016-07-17,15,107,1684,247,1110,47,347,17,185
2016-07-18,12,129,1320,215,1073,49,565,8,281
2016-07-19,12,101,1734,178,1139,43,461,8,165
2016-07-20,3,90,1269,130,1069,42,543,4,164
2016-07-21,8,88,1349,122,983,65,452,8,142
2016-07-22,11,51,1192,149,1038,48,372,13,127
2016-07-23,10,27,1507,175,926,38,284,7,146
2016-07-24,11,26,1523,170,990,56,427,10,163
2016-07-25,12,24,1343,130,1008,62,492,14,200
2016-07-26,17,38,1324,154,1065,75,506,13,155
2016-07-27,4,19,1158,183,1195,47,376,9,137
2016-07-28,10,21,1167,216,1194,52,310,12,132
2016-07-29,17,30,1148,240,1177,111,266,16,151
2016-07-30,11,9,1197,232,1109,38,325,10,150
2016-07-31,10,15,1370,208,1096,60,520,13,151
2016-08-01,8,19,1458,201,1199,52,454,7,177
2016-08-02,9,29,1416,195,1221,72,484,13,140
2016-08-03,13,25,1241,144,1183,68,428,16,173
2016-08-04,6,18,1232,240,1175,39,402,4,146
2016-08-05,12,23,1026,189,1194,65,304,16,112
2016-08-06,10,20,992,221,1202,43,293,9,153
2016-08-07,8,12,1109,178,1109,42,459,8,180
2016-08-08,19,20,1174,170,1518,61,401,12,167
2016-08-09,13,15,1155,127,1652,72,394,15,147
2016-08-10,6,12,1125,181,1885,61,397,7,128
2016-08-11,23,17,1080,360,1787,68,387,12,146
2016-08-12,9,13,1040,289,3326,51,274,13,187
2016-08-13,6,7,990,329,3464,56,298,7,153
2016-08-14,12,25,1173,396,2875,41,382,11,143
2016-08-15,13,19,1052,383,2264,61,372,12,209
2016-08-16,11,13,1111,262,1703,36,334,9,157
2016-08-17,2,9,1440,231,2091,44,358,11,116
2016-08-18,11,20,1220,241,1777,83,283,17,173
2016-08-19,9,17,1246,239,2245,49,229,12,136
2016-08-20,9,13,1062,338,1699,42,239,14,128
2016-08-21,16,17,1285,363,1614,69,297,22,154
2016-08-22,10,22,1257,355,1327,50,290,8,146
2016-08-23,15,18,1169,247,1607,57,320,17,267
2016-08-24,10,27,1154,316,1735,53,236,10,178
2016-08-25,8,13,1192,310,2027,59,261,11,175
