Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2015-10-10,5,9,1286,302,2418,26,260,2,166
2015-10-11,15,11,1420,216,2209,29,227,1,119
2015-10-12,14,28,1207,416,1759,91,302,3,119
2015-10-13,16,33,1208,316,1543,50,339,9,139
2015-10-14,10,23,1292,223,1522,41,289,7,145
2015-10-15,10,16,1189,211,1485,35,307,5,110
2015-10-16,10,19,1085,265,1520,26,268,3,204
2015-10-17,7,24,1083,337,1432,30,284,3,107
2015-10-18,9,23,1244,204,1555,39,283,6,137
2015-10-19,15,30,1296,183,1526,36,290,6,145
2015-10-20,13,49,1746,121,1420,44,312,4,107
2015-10-21,18,28,1866,149,1570,38,294,7,111
2015-10-22,12,18,1175,149,1493,39,317,8,132
2015-10-23,15,10,1152,137,1540,59,258,6,123
2015-10-24,5,5,1015,382,1401,38,221,3,102
2015-10-25,10,17,1186,192,1558,30,251,3,123
2015-10-26,17,18,1263,153,1759,47,313,6,146
2015-10-27,13,15,1469,151,1491,39,285,11,124
2015-10-28,20,19,1415,127,2398,54,272,92,112
2015-10-29,13,25,1257,129,1526,43,489,31,118
2015-10-30,23,7,1089,149,1520,34,330,11,107
2015-10-31,27,16,955,254,1552,47,263,2,79
2015-11-01,16,20,957,172,1447,40,287,4,114
2015-11-02,5,36,1177,173,1627,44,405,37,132
2015-11-03,11,30,1284,166,1846,33,316,19,118
2015-11-04,10,19,1329,170,1720,54,284,14,141
2015-11-05,8,17,1355,159,1632,35,448,4,233
2015-11-06,10,16,1130,133,1726,31,363,5,134
2015-11-07,12,11,1074,578,2293,27,318,15,108
2015-11-08,2,15,1114,339,2035,34,308,7,126
2015-11-09,3,11,1358,625,1965,40,358,30,139
2015-11-10,5,35,1165,328,1835,43,353,13,132
2015-11-11,9,14,1075,282,1655,51,393,25,90
2015-11-12,24,33,1139,212,1660,75,407,8,135
2015-11-13,10,27,1131,212,1631,41,309,81,102
2015-11-14,9,11,853,294,1574,38,367,11,124
2015-11-15,17,21,1133,307,1550,38,349,23,140
2015-11-16,18,14,1108,192,1661,57,450,6,134
2015-11-17,10,25,1250,222,1718,42,414,5,95
2015-11-18,10,19,1143,216,1604,40,360,8,111
2015-11-19,13,32,1305,198,1685,45,377,7,102
2015-11-20,10,11,1219,179,1589,55,358,6,116
2015-11-21,8,12,1000,208,1535,29,341,7,109
2015-11-22,16,6,1197,192,1524,38,342,3,96
2015-11-23,15,11,1372,239,1478,57,432,6,126
2015-11-24,13,13,1358,164,1483,41,511,9,140
2015-11-25,11,15,1066,186,1480,34,355,2,115
2015-11-26,13,18,1226,182,1375,37,286,6,90
2015-11-27,11,14,1078,219,1374,28,297,4,66
2015-11-28,9,7,1157,221,1318,32,267,13,108
2015-11-29,12,20,1291,187,1431,31,276,5,125
2015-11-30,7,16,1285,178,1495,45,308,1,105
2015-12-01,15,16,1404,173,1354,33,375,16,116
2015-12-02,12,10,1497,208,1375,65,348,2,108
2015-12-03,9,18,1355,206,1320,44,339,6,186
2015-12-04,7,12,1670,207,1464,48,293,6,81
2015-12-05,13,11,1450,229,1317,36,229,4,119
2015-12-06,15,9,1654,244,1433,25,287,5,100
2015-12-07,11,22,1638,255,1521,42,473,5,88
2015-12-08,10,27,1473,251,1468,44,348,4,96
2015-12-09,11,32,1479,278,1516,39,356,8,93
2015-12-10,8,36,1789,520,1602,46,337,7,124
2015-12-11,10,16,1395,322,1383,47,286,12,126
2015-12-12,14,19,1205,279,1433,53,250,13,98
2015-12-13,15,29,1265,270,1526,44,299,3,161
2015-12-14,8,19,1336,232,1561,34,344,6,149
2015-12-15,12,20,1250,258,1597,41,277,5,127
2015-12-16,16,35,1174,210,1566,47,313,8,98
2015-12-17,9,25,1068,198,1515,52,274,7,82
2015-12-18,7,6,1000,221,1406,33,265,4,102
2015-12-19,5,3,891,434,1278,32,202,0,70
2015-12-20,10,9,1171,382,1322,28,222,5,104
2015-12-21,3,9,1160,421,1238,58,255,7,82
2015-12-22,8,8,1095,272,1240,42,236,6,117
2015-12-23,11,7,1096,333,1213,21,199,5,95
2015-12-24,6,25,961,267,1045,41,188,3,81
2015-12-25,4,23,957,250,1038,14,192,1,208
2015-12-26,10,7,1010,452,1093,30,231,3,139
2015-12-27,13,10,1257,407,1195,40,210,1,151
2015-12-28,6,9,1124,525,1216,33,219,2,136
2015-12-29,13,6,1032,394,1286,46,194,6,106
2015-12-30,16,13,1097,484,1290,33,194,6,111
2015-12-31,11,7,944,471,1138,26,201,6,85
2016-01-01,6,11,1073,644,1139,41,212,2,131
2016-01-02,12,10,1251,1150,1209,46,182,2,126
2016-01-03,10,17,1226,1200,1251,34,255,5,116
2016-01-04,15,16,1275,3134,1364,51,253,2,134
2016-01-05,8,18,1276,2027,1346,48,295,8,131
2016-01-06,24,11,1370,1514,1294,58,348,6,95
2016-01-07,4,18,1248,1042,1468,40,620,3,3011
2016-01-08,19,13,1190,871,1313,43,361,4,186
2016-01-09,7,8,1266,873,1320,36,319,5,158
2016-01-10,10,93,1677,779,1352,54,296,3,162
2016-01-11,6,40,1201,663,1336,40,346,12,130
2016-01-12,10,33,1200,492,1271,49,355,8,120
2016-01-13,5,24,1223,434,1424,36,280,4,108
2016-01-14,9,18,1180,304,1487,37,282,1,152
2016-01-15,13,14,1214,330,1471,33,315,3,124
2016-01-16,12,45,1169,348,1283,36,248,6,121
2016-01-17,12,40,1352,289,1297,31,308,0,131
2016-01-18,18,24,1374,298,1293,55,256,8,162
2016-01-19,2,10,1352,239,1416,38,311,2,141
2016-01-20,7,20,1308,263,1319,192,292,6,98
2016-01-21,10,17,1446,462,1317,79,279,4,151
2016-01-22,7,16,1486,338,1480,51,272,2,124
2016-01-23,16,18,1350,385,1404,43,291,2,122
2016-01-24,9,21,1296,363,1376,27,307,6,158
2016-01-25,10,21,1438,438,1381,41,324,22,143
2016-01-26,5,15,1540,377,1376,30,387,5,139
2016-01-27,5,16,1484,367,1487,32,413,4,98
2016-01-28,14,21,1426,464,1351,47,377,3,117
2016-01-29,5,24,1821,322,1274,37,305,1,125
2016-01-30,16,13,1397,357,1343,37,338,10,114
2016-01-31,4,28,1573,374,1271,39,312,5,155
2016-02-01,10,21,1417,366,1364,30,371,5,140
2016-02-02,9,19,1349,230,1341,44,387,4,117
2016-02-03,4,29,1318,226,1336,39,310,18,102
2016-02-04,6,33,1474,188,1288,41,319,33,129
2016-02-05,13,10,1315,226,1446,38,291,39,106
2016-02-06,8,23,1258,275,1255,31,242,16,134
2016-02-07,11,13,1302,235,1215,43,315,17,102
2016-02-08,11,19,1385,185,1276,37,313,9,116
2016-02-09,6,33,1295,189,1336,35,311,12,106
2016-02-10,10,18,1357,209,1338,39,261,15,109
2016-02-11,13,17,1251,165,1256,44,312,15,127
2016-02-12,10,18,1228,174,1209,133,281,6,113
2016-02-13,13,18,1170,191,1258,38,262,6,98
2016-02-14,10,21,1162,216,1253,35,258,11,139
2016-02-15,16,25,1286,209,1360,61,276,5,143
2016-02-16,11,27,1624,161,1317,34,290,3,110
2016-02-17,11,24,1738,162,1289,39,314,30,133
2016-02-18,15,25,1665,138,1249,49,286,12,123
2016-02-19,12,26,1720,171,1284,28,248,4,108
2016-02-20,9,19,1602,162,1263,40,300,4,110
2016-02-21,17,15,1850,206,1308,38,333,9,128
2016-02-22,20,37,1881,240,1343,39,315,4,138
2016-02-23,17,45,2066,159,1339,59,288,11,106
2016-02-24,13,49,2269,196,1300,35,369,24,122
2016-02-25,12,25,2202,194,1317,49,354,8,155
2016-02-26,17,15,2087,220,1382,48,294,8,127
2016-02-27,11,28,1981,195,1729,30,475,4,87
2016-02-28,14,24,2088,222,1489,49,401,5,135
2016-02-29,21,23,2083,220,1400,57,361,7,164
2016-03-01,16,15,2172,119,1307,30,345,7,112
2016-03-02,7,24,1980,152,1547,43,655,13,162
2016-03-03,7,29,1964,157,1416,45,330,14,172
2016-03-04,6,24,1876,127,1413,37,309,5,151
2016-03-05,12,12,1791,213,1503,97,284,6,114
2016-03-06,9,6,1910,171,1537,29,322,29,111
2016-03-07,9,32,1869,136,1570,50,357,32,115
2016-03-08,14,11,1899,145,1565,47,335,19,163
2016-03-09,10,21,1682,135,1390,44,339,30,278
2016-03-10,8,77,1648,137,1290,43,310,5,124
2016-03-11,8,18,1553,150,1244,35,290,11,115
2016-03-12,14,9,1386,238,1199,50,310,7,103
2016-03-13,16,14,1459,174,1479,33,315,4,124
2016-03-14,7,19,1685,169,1385,47,355,2,115
2016-03-15,14,17,1568,111,1375,29,385,2,146
2016-03-16,10,15,1570,116,1336,82,280,9,143
2016-03-17,12,32,1423,166,1302,58,256,4,103
2016-03-18,15,25,1455,163,1298,33,305,75,102
2016-03-19,7,8,1290,156,1284,32,224,7,89
2016-03-20,1,18,1442,156,1298,40,344,9,161
2016-03-21,8,17,1544,179,1225,40,417,15,151
2016-03-22,7,31,1494,167,1300,44,341,10,114
2016-03-23,14,10,1399,167,1263,35,320,9,121
2016-03-24,9,30,1306,150,1147,55,339,7,107
2016-03-25,8,11,1386,192,1200,45,302,7,96
2016-03-26,9,32,1377,152,1152,29,247,2,124
2016-03-27,9,102,1399,164,1182,42,269,13,135
2016-03-28,9,50,1562,154,1237,41,317,7,162
2016-03-29,5,22,1466,164,1250,31,320,2,132
2016-03-30,8,17,1418,155,1210,47,331,4,132
2016-03-31,11,26,1350,172,1123,71,349,8,119
2016-04-01,14,15,1259,190,1201,52,275,38,110
2016-04-02,13,16,1211,677,1075,71,259,3,127
2016-04-03,9,17,1425,508,1164,35,273,11,129
2016-04-04,13,18,1509,358,1177,35,308,7,129
2016-04-05,16,14,1358,432,1235,53,298,10,159
2016-04-06,14,28,1401,393,1342,41,291,8,176
2016-04-07,4,22,1720,357,1355,50,337,6,158
2016-04-08,8,26,1409,356,1329,39,271,61,132
2016-04-09,14,11,1123,384,1183,48,304,108,120
2016-04-10,11,13,1281,361,1269,33,327,103,149
2016-04-11,10,23,1579,356,1403,43,356,91,143
2016-04-12,8,22,1460,376,1250,64,332,96,131
2016-04-13,14,15,1247,311,1136,35,394,109,117
2016-04-14,9,14,1258,272,1181,28,304,82,130
2016-04-15,14,12,1291,232,1201,28,364,73,124
2016-04-16,10,163,1314,301,1176,32,243,86,113
2016-04-17,11,25,1262,291,1243,45,283,66,154
2016-04-18,12,21,1486,287,1243,108,337,71,143
2016-04-19,13,23,1527,236,1315,41,304,87,126
2016-04-20,9,109,1376,255,1265,52,336,74,138
2016-04-21,13,39,1437,228,1233,49,351,81,159
2016-04-22,12,16,1396,228,1340,55,356,89,136
2016-04-23,6,16,1266,244,1338,30,335,77,143
2016-04-24,14,14,1303,280,1437,29,334,87,140
2016-04-25,8,59,1500,308,1362,37,400,227,117
2016-04-26,9,69,1483,238,1425,52,335,142,149
2016-04-27,10,22,1469,201,1371,43,304,146,139
2016-04-28,9,29,1567,201,1407,43,333,143,118
2016-04-29,4,12,1310,195,1285,37,241,122,133
2016-04-30,6,12,1257,192,1100,43,284,127,114
2016-05-01,6,7,1824,283,1157,29,317,84,131
2016-05-02,7,36,1614,188,1119,32,310,38,107
2016-05-03,13,51,1399,181,1215,59,335,17,119
2016-05-04,15,46,1298,214,1323,44,347,17,108
2016-05-05,7,105,1411,222,1267,45,319,10,138
2016-05-06,10,12,1288,216,1327,54,258,17,127
2016-05-07,12,8,1128,209,1138,40,220,19,119
2016-05-08,10,15,1242,240,1144,35,261,10,123
2016-05-09,10,25,1591,205,1251,31,356,22,122
2016-05-10,14,21,1602,184,1435,48,297,34,121
2016-05-11,14,21,1380,156,1359,48,268,23,140
2016-05-12,5,37,1424,193,1299,104,293,6,126
2016-05-13,12,19,1364,185,1344,42,258,12,125
2016-05-14,11,19,1237,168,1198,34,208,14,122
2016-05-15,11,11,1512,197,1333,58,313,15,147
2016-05-16,10,22,1617,176,1320,38,262,20,176
2016-05-17,9,35,1482,284,1461,45,319,9,126
2016-05-18,8,22,1420,192,1306,35,277,8,160
2016-05-19,10,21,1406,199,1247,51,352,9,155
2016-05-20,14,22,1262,185,1221,35,271,12,335
2016-05-21,23,11,1304,193,1207,64,220,10,147
2016-05-22,10,30,1582,188,1239,31,286,7,138
2016-05-23,16,18,1366,131,1347,43,310,15,173
2016-05-24,12,16,1413,151,1486,43,265,18,163
2016-05-25,19,19,1446,139,1516,38,273,350,157
2016-05-26,15,7,1482,168,1563,47,323,103,164
2016-05-27,9,19,1293,160,1430,73,236,65,134
2016-05-28,9,5,1270,157,1526,33,214,58,143
2016-05-29,8,166,1554,200,1370,44,241,16,136
2016-05-30,13,66,1696,199,1531,47,244,24,178
2016-05-31,15,18,1604,214,1580,38,289,18,171
2016-06-01,17,24,1563,162,1527,44,255,16,152
2016-06-02,14,34,1513,165,1439,50,267,20,164
2016-06-03,10,28,1288,151,1607,49,256,12,148
2016-06-04,11,34,1434,187,1429,40,240,14,135
2016-06-05,12,126,1394,179,1483,36,266,23,160
2016-06-06,9,58,1488,230,1680,35,271,31,179
2016-06-07,9,43,1422,159,1794,37,244,14,159
2016-06-08,10,48,1400,210,1662,41,238,10,139
2016-06-09,9,41,1478,193,1754,36,244,12,166
2016-06-10,8,19,1387,221,2038,34,233,10,140
2016-06-11,7,21,1254,174,2089,185,203,10,141
2016-06-12,6,73,1290,169,2287,45,244,14,164
2016-06-13,14,79,1475,200,1840,40,361,14,136
2016-06-14,12,43,1620,168,1730,31,480,17,134
2016-06-15,12,141,1564,174,1565,71,494,14,150
2016-06-16,16,85,1429,177,1606,64,545,17,148
2016-06-17,7,26,1243,165,1550,53,258,17,162
2016-06-18,14,5,1425,153,1487,37,376,17,139
2016-06-19,16,54,1631,235,1534,50,627,19,180
2016-06-20,7,69,1704,144,1560,38,508,39,164
2016-06-21,13,51,1430,124,1404,66,398,12,126
2016-06-22,4,21,1409,159,1299,45,434,14,131
2016-06-23,14,55,1431,166,1396,48,429,13,170
2016-06-24,9,21,1211,187,1234,29,259,15,173
2016-06-25,7,64,1369,194,1153,37,363,21,185
2016-06-26,10,76,1628,194,1201,37,471,16,166
2016-06-27,14,103,1922,177,1180,40,493,22,195
2016-06-28,5,85,1867,159,1219,104,463,28,159
2016-06-29,12,100,1527,194,1374,167,402,24,164
2016-06-30,7,86,1378,214,1222,40,301,16,139
2016-07-01,13,88,1336,211,1238,39,272,6,150
2016-07-02,10,84,1323,225,1164,35,321,11,158
2016-07-03,8,68,2738,240,1187,48,401,11,198
2016-07-04,9,76,1536,196,1234,54,432,9,168
2016-07-05,15,90,1430,151,1230,37,334,8,178
2016-07-06,11,70,1323,175,1196,45,517,10,163
2016-07-07,9,64,1378,192,1165,46,367,8,157
2016-07-08,5,82,1285,156,1156,56,249,9,114
2016-07-09,9,80,1286,147,1136,39,261,11,125
2016-07-10,7,65,1398,209,1148,53,407,6,193
2016-07-11,12,93,1316,174,1124,48,458,10,452
2016-07-12,17,101,1250,134,1160,51,388,15,184
