Date,"Nancy Cartwright","Don't Say You Love Me (M2M song)","Battle of the Santa Cruz Islands","O. G. S. Crawford","Paul Palaiologos Tagaris","Dave Gallaher","Ninety-five Theses","Super Mario Galaxy","Balfour Declaration"
2018-04-20,1199,48,412,19,24,33,920,475,1686
2018-04-21,1147,59,299,6,8,32,918,457,1230
2018-04-22,1324,52,324,21,12,44,985,510,1529
2018-04-23,1259,56,347,8,7,30,1212,438,2140
2018-04-24,1225,43,363,15,6,57,1107,473,2471
2018-04-25,2488,42,321,20,12,59,1088,416,2160
2018-04-26,1568,44,345,12,4,41,1066,527,1967
2018-04-27,1385,41,296,6,8,41,1161,408,1601
2018-04-28,1425,41,272,9,9,24,891,467,1233
2018-04-29,1476,39,323,13,17,36,1036,484,1490
2018-04-30,1462,44,373,9,31,32,1205,502,2023
2018-05-01,1282,48,335,18,15,28,1131,467,2182
2018-05-02,1242,45,288,9,11,28,1369,386,2040
2018-05-03,1476,64,319,17,16,34,1180,408,1805
2018-05-04,1415,50,466,13,7,35,956,445,1677
2018-05-05,1467,48,302,10,12,36,793,472,1248
2018-05-06,1630,56,399,8,12,25,882,434,1544
2018-05-07,1522,66,506,18,7,29,1203,436,2109
2018-05-08,1338,45,406,18,8,38,1154,434,2162
2018-05-09,1472,45,451,36,14,32,1197,464,2147
2018-05-10,1378,44,366,30,11,36,1098,409,2191
2018-05-11,1578,47,343,12,14,23,965,450,2156
2018-05-12,1570,35,290,14,9,26,788,445,1659
2018-05-13,1566,58,301,13,14,43,853,457,2007
2018-05-14,1338,40,322,15,7,22,1413,460,5973
2018-05-15,1369,39,297,15,14,30,1154,438,7959
2018-05-16,1234,47,331,14,10,34,1066,429,5861
2018-05-17,1140,45,302,19,7,22,1029,451,4256
2018-05-18,1102,64,331,12,5,32,953,428,3057
2018-05-19,988,77,331,14,6,27,743,413,2301
2018-05-20,1208,74,295,16,9,49,970,433,2433
2018-05-21,1286,57,326,12,11,37,1131,477,2755
2018-05-22,1169,59,311,36,13,33,1069,465,2375
2018-05-23,1169,72,435,19,22,103,1038,426,2134
2018-05-24,1110,48,336,18,16,33,1056,380,2229
2018-05-25,1165,47,336,6,9,31,835,402,1655
2018-05-26,1201,61,309,12,5,27,706,422,1292
2018-05-27,1304,57,394,14,7,34,777,491,1478
2018-05-28,1449,66,331,38,12,44,816,532,1569
2018-05-29,1363,58,435,13,8,23,944,514,1762
2018-05-30,1197,62,312,36,12,44,1090,465,1823
2018-05-31,1169,74,278,12,6,35,952,455,1648
2018-06-01,1105,60,306,13,11,33,851,427,1448
2018-06-02,1181,65,298,13,11,45,682,404,1226
2018-06-03,1501,62,324,12,9,37,887,496,1398
2018-06-04,1602,56,337,17,10,43,1225,472,1538
2018-06-05,1165,66,359,10,9,34,975,445,1684
2018-06-06,1199,52,332,20,101,52,841,469,1505
2018-06-07,1137,47,391,67,15,100,841,522,1421
2018-06-08,1122,57,381,12,18,108,758,710,1206
2018-06-09,1148,56,267,13,7,115,759,553,1040
2018-06-10,1299,53,280,8,5,50,782,532,1186
2018-06-11,1202,52,337,33,7,42,796,518,1257
2018-06-12,1124,74,298,17,5,56,828,555,1359
2018-06-13,1175,71,318,17,6,52,816,595,1164
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,1042,47,307,20,11,44,2937,469,957
2018-06-16,1110,56,280,21,4,262,606,562,891
2018-06-17,1357,55,273,16,6,73,747,556,935
