Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2015-12-15,4,46,47,88,21,35,1150,831,24
2015-12-16,2,36,48,122,26,38,966,678,22
2015-12-17,4,41,29,70,22,20,949,573,27
2015-12-18,4,38,45,89,27,32,812,565,15
2015-12-19,9,44,48,57,11,25,808,579,17
2015-12-20,6,26,27,203,5,23,670,543,21
2015-12-21,5,30,46,188,11,34,818,632,52
2015-12-22,5,35,40,134,9,17,902,696,13
2015-12-23,5,40,49,137,10,28,765,673,18
2015-12-24,3,36,36,117,11,24,658,633,10
2015-12-25,6,28,21,83,13,38,569,609,24
2015-12-26,5,39,32,79,15,26,590,679,19
2015-12-27,10,53,38,125,13,32,787,817,12
2015-12-28,3,33,38,110,11,32,738,691,12
2015-12-29,3,51,46,84,27,26,660,728,10
2015-12-30,13,52,37,108,267,27,730,686,15
2015-12-31,6,38,27,88,23,32,624,647,17
2016-01-01,9,44,46,79,14,65,602,600,10
2016-01-02,8,46,47,178,23,51,661,820,13
2016-01-03,7,45,42,96,26,37,770,720,11
2016-01-04,4,61,44,123,178,77,772,759,13
2016-01-05,6,50,42,71,36,42,1065,710,16
2016-01-06,7,41,55,39,25,35,960,809,27
2016-01-07,24,45,43,176,23,36,1004,699,17
2016-01-08,10,49,52,68,28,47,1312,714,12
2016-01-09,3,44,47,52,17,32,635,655,15
2016-01-10,3,45,42,118,16,29,713,744,18
2016-01-11,7,51,43,122,26,24,848,679,12
2016-01-12,1,56,59,64,41,23,888,759,20
2016-01-13,3,51,40,318,21,33,974,605,15
2016-01-14,5,44,45,230,20,39,1044,646,19
2016-01-15,5,57,38,144,32,36,957,699,24
2016-01-16,4,29,35,109,15,56,626,689,26
2016-01-17,5,47,45,60,17,31,583,761,18
2016-01-18,7,49,55,84,30,62,910,945,28
2016-01-19,3,49,44,62,17,46,1015,696,25
2016-01-20,18,46,44,44,15,36,1011,661,30
2016-01-21,6,53,42,64,33,49,1198,821,28
2016-01-22,3,53,35,47,24,49,1048,655,30
2016-01-23,4,52,42,44,21,40,647,624,17
2016-01-24,2,42,39,112,14,48,719,748,35
2016-01-25,7,47,64,57,33,182,14389,708,34
2016-01-26,30,65,45,53,21,155,1152,696,80
2016-01-27,3,49,43,40,28,124,1214,651,24
2016-01-28,9,50,59,50,33,129,1050,739,14
2016-01-29,7,34,34,42,20,126,1001,731,15
2016-01-30,4,45,49,57,23,129,778,603,34
2016-01-31,7,45,42,165,17,101,866,743,34
2016-02-01,9,57,57,144,24,114,1180,697,45
2016-02-02,9,66,45,78,49,126,1214,618,36
2016-02-03,20,61,61,80,17,116,1279,580,39
2016-02-04,6,37,55,71,20,120,1213,857,40
2016-02-05,5,46,57,121,22,104,1152,925,13
2016-02-06,6,35,39,41,14,98,726,744,16
2016-02-07,3,45,52,59,17,115,823,739,26
2016-02-08,3,56,60,63,23,106,1191,659,28
2016-02-09,3,67,53,64,33,108,1249,726,37
2016-02-10,8,60,63,60,21,106,1354,701,45
2016-02-11,3,54,65,48,28,105,1357,637,44
2016-02-12,23,61,51,59,17,127,1020,738,29
2016-02-13,159,46,40,38,19,121,640,1731,34
2016-02-14,252,53,37,42,29,100,916,700,157
2016-02-15,127,52,56,188,25,133,935,789,72
2016-02-16,41,62,51,138,36,109,1291,678,50
2016-02-17,67,46,44,97,27,112,1455,591,50
2016-02-18,58,59,51,80,11,104,1671,657,62
2016-02-19,36,53,49,64,23,118,1344,653,49
2016-02-20,32,45,46,53,15,76,730,646,150
