Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2018-06-08,74,54,72,164,17,38,1408,527,26
2018-06-09,25,40,29,118,15,34,831,465,23
2018-06-10,30,50,43,128,19,45,790,636,29
2018-06-11,24,39,51,201,24,40,1003,1692,35
2018-06-12,23,35,52,271,24,48,1038,728,32
2018-06-13,23,52,53,288,16,38,913,835,33
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,22,30,62,111,14,35,743,613,24
2018-06-16,11,37,40,212,10,63,636,585,13
2018-06-17,22,40,34,126,13,31,776,664,27
