Date,"Léal Souvenir","Zero Escape: Virtue's Last Reward","Newton's parakeet","Southern Cross (wordless novel)","Brougham Castle","Turboliner","Djedkare Isesi","James Russell Lowell","Ontario Highway 402"
2015-12-30,22,560,16,10,29,41,70,145,46
2015-12-31,17,447,18,8,23,26,98,127,38
2016-01-01,18,418,18,6,28,59,94,137,29
2016-01-02,13,575,36,7,31,38,36,190,43
2016-01-03,14,524,18,7,30,36,23,164,67
2016-01-04,21,522,21,15,40,50,37,184,56
2016-01-05,19,498,14,14,24,47,67,205,50
2016-01-06,16,512,24,9,39,41,37,243,40
2016-01-07,22,458,30,13,38,50,39,237,38
2016-01-08,16,366,25,6,25,52,27,194,49
2016-01-09,15,430,19,7,30,64,41,162,39
2016-01-10,14,451,15,13,36,43,43,209,48
2016-01-11,17,380,19,10,31,45,43,221,57
2016-01-12,14,389,42,15,46,40,33,240,53
2016-01-13,15,341,15,7,25,37,42,260,40
2016-01-14,20,408,26,13,27,46,26,243,32
2016-01-15,13,411,26,19,29,69,47,174,38
2016-01-16,23,427,19,13,37,59,30,140,48
2016-01-17,11,334,21,6,19,57,80,176,43
2016-01-18,22,353,13,17,34,57,67,401,43
2016-01-19,13,506,21,5,22,40,99,408,32
2016-01-20,11,493,15,8,25,48,55,377,45
2016-01-21,17,409,25,16,31,77,55,413,53
2016-01-22,16,467,17,10,21,48,128,444,36
2016-01-23,18,524,20,14,37,41,217,442,39
2016-01-24,16,471,19,9,31,42,44,448,48
2016-01-25,31,463,28,10,30,61,41,507,34
2016-01-26,12,455,18,8,25,68,65,414,40
2016-01-27,15,371,24,5,23,51,104,495,26
2016-01-28,24,474,24,7,38,51,463,440,32
2016-01-29,12,602,14,10,16,67,70,215,36
2016-01-30,13,484,31,15,35,47,116,183,41
2016-01-31,8,434,14,8,28,63,77,162,48
2016-02-01,26,452,23,12,31,60,73,221,46
2016-02-02,13,505,23,12,39,62,180,195,33
2016-02-03,22,463,19,8,23,40,100,222,45
2016-02-04,13,472,17,6,27,56,141,243,29
2016-02-05,26,387,26,15,31,38,86,217,39
2016-02-06,26,346,22,8,29,42,79,168,38
2016-02-07,14,381,24,16,44,52,45,229,30
2016-02-08,17,430,15,11,30,43,48,226,32
2016-02-09,27,472,27,13,35,42,55,204,39
2016-02-10,19,406,30,18,47,54,45,212,49
2016-02-11,17,347,18,13,28,49,52,214,43
2016-02-12,20,319,24,12,31,33,23,181,46
2016-02-13,13,362,30,10,29,49,41,151,98
2016-02-14,15,386,19,7,38,42,46,158,53
2016-02-15,26,427,29,17,52,49,34,167,66
2016-02-16,23,502,18,6,33,44,32,211,49
2016-02-17,15,631,17,12,27,45,43,239,41
2016-02-18,17,459,23,8,42,64,35,255,47
2016-02-19,17,669,20,12,32,48,34,184,27
2016-02-20,16,729,18,10,22,34,29,126,27
2016-02-21,40,512,41,11,73,42,46,193,32
2016-02-22,25,502,12,7,31,48,48,370,40
2016-02-23,20,502,20,7,19,39,38,247,52
2016-02-24,11,446,26,3,26,42,42,209,31
2016-02-25,11,479,21,15,29,43,36,256,73
2016-02-26,23,507,18,14,25,86,46,189,69
2016-02-27,16,459,25,10,24,54,37,160,28
2016-02-28,16,435,19,12,34,44,35,180,32
2016-02-29,18,504,29,13,41,39,47,368,42
