Date,"Cliff Clinkscales","Johnson Creek (Willamette River)","The Good Terrorist","USS Constellation vs L'Insurgente","Olympic marmot","Kedok Ketawa","Bobby Peel","Marvel Science Stories","Epsilon Eridani"
2016-03-18,3,15,44,27,56,6,13,11,151
2016-03-19,6,12,69,19,59,7,10,9,160
2016-03-20,3,10,82,27,40,2,1,7,178
2016-03-21,9,21,64,28,52,7,9,15,194
2016-03-22,1,15,43,35,56,4,7,5,207
2016-03-23,4,16,43,34,41,7,11,8,174
2016-03-24,5,18,42,27,42,4,6,6,142
2016-03-25,17,6,46,28,39,8,8,4,224
2016-03-26,4,13,32,30,46,8,10,15,229
2016-03-27,10,13,51,55,53,8,7,11,147
2016-03-28,11,16,62,33,41,9,9,11,186
2016-03-29,8,8,39,32,48,4,11,10,190
2016-03-30,3,16,52,32,53,9,11,16,180
2016-03-31,6,21,36,30,48,11,13,13,219
2016-04-01,11,16,41,24,40,11,14,8,170
2016-04-02,8,19,30,38,56,8,11,12,145
2016-04-03,8,28,46,21,48,9,12,11,186
2016-04-04,4,19,63,22,60,8,22,18,203
2016-04-05,8,18,70,26,50,7,10,15,188
2016-04-06,8,26,60,38,58,15,16,14,234
2016-04-07,7,27,46,26,51,4,9,9,197
2016-04-08,2,17,29,21,54,11,7,8,200
2016-04-09,5,24,47,29,47,14,17,17,137
2016-04-10,9,33,83,30,45,13,15,24,174
2016-04-11,2,19,62,30,45,6,17,13,175
2016-04-12,10,28,42,47,46,11,12,13,257
2016-04-13,5,27,41,25,50,6,13,15,350
2016-04-14,9,36,50,31,55,13,17,18,309
2016-04-15,8,21,40,30,56,8,10,74,213
2016-04-16,7,16,42,25,53,6,9,16,221
2016-04-17,10,21,43,24,60,10,8,23,226
2016-04-18,10,25,42,27,55,5,6,13,260
2016-04-19,8,29,60,34,55,9,15,16,349
2016-04-20,4,16,55,29,58,6,16,12,272
2016-04-21,6,16,43,37,48,8,10,11,231
2016-04-22,4,23,58,27,50,17,17,15,193
2016-04-23,6,29,40,31,39,7,9,11,165
2016-04-24,8,20,35,30,58,11,11,13,209
2016-04-25,9,19,53,27,70,7,7,5,196
2016-04-26,10,14,43,32,65,7,18,17,184
2016-04-27,3,25,50,39,51,10,13,17,174
2016-04-28,3,18,158,43,66,5,21,8,203
2016-04-29,5,18,51,27,60,6,11,11,203
2016-04-30,6,15,49,24,60,4,10,14,155
2016-05-01,8,22,38,20,62,9,10,10,209
2016-05-02,5,26,45,27,56,7,16,20,218
2016-05-03,6,21,42,34,57,9,10,12,232
2016-05-04,3,30,38,41,64,15,17,12,222
2016-05-05,12,18,40,39,77,10,10,12,250
2016-05-06,13,32,46,30,50,8,11,13,261
2016-05-07,16,17,32,42,47,10,8,11,169
2016-05-08,10,16,66,25,61,5,13,11,201
2016-05-09,9,24,33,35,73,11,17,11,317
2016-05-10,14,17,40,31,76,9,15,14,294
2016-05-11,3,22,36,36,75,11,29,17,286
2016-05-12,5,22,36,38,58,10,13,13,263
2016-05-13,1,9,46,29,67,9,9,10,255
2016-05-14,5,15,28,23,50,9,13,13,188
2016-05-15,9,16,46,25,65,9,15,11,206
2016-05-16,6,8,53,30,77,3,11,4,179
2016-05-17,3,19,44,26,69,8,14,14,219
2016-05-18,8,9,38,17,89,7,18,16,229
2016-05-19,3,22,29,28,77,9,15,19,216
