Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2016-06-18,47,330,15,94,0
2016-06-19,48,309,25,120,0
2016-06-20,59,343,19,114,0
2016-06-21,50,381,7,116,0
2016-06-22,38,394,11,104,0
2016-06-23,41,517,17,87,0
2016-06-24,42,340,23,111,0
2016-06-25,37,504,18,117,0
2016-06-26,20,351,21,287,0
2016-06-27,40,303,18,212,0
2016-06-28,32,322,17,184,0
2016-06-29,38,345,15,274,0
2016-06-30,42,341,20,162,0
2016-07-01,36,350,22,150,0
2016-07-02,30,253,24,157,0
2016-07-03,33,382,20,166,0
2016-07-04,80,446,26,181,0
2016-07-05,38,423,11,147,0
2016-07-06,50,369,15,145,0
2016-07-07,34,341,21,135,0
2016-07-08,24,334,18,121,0
2016-07-09,46,325,29,119,0
2016-07-10,40,352,25,142,0
2016-07-11,48,308,33,181,0
2016-07-12,55,357,34,169,0
2016-07-13,34,343,14,541,0
2016-07-14,33,379,18,201,0
2016-07-15,37,328,14,133,0
2016-07-16,21,275,15,127,0
2016-07-17,39,361,15,217,0
2016-07-18,39,331,24,192,0
2016-07-19,44,306,15,236,0
2016-07-20,31,1102,13,165,0
2016-07-21,35,868,14,152,0
2016-07-22,45,409,42,158,0
2016-07-23,31,311,29,181,0
2016-07-24,35,363,31,144,0
2016-07-25,53,343,24,144,0
2016-07-26,65,326,18,139,0
2016-07-27,44,351,37,140,0
2016-07-28,40,315,21,152,0
2016-07-29,40,294,48,170,0
2016-07-30,58,300,30,138,0
2016-07-31,57,322,24,196,0
2016-08-01,55,310,29,194,0
2016-08-02,119,352,23,163,0
2016-08-03,97,297,23,157,0
2016-08-04,44,298,30,143,0
2016-08-05,67,254,31,137,0
2016-08-06,113,236,44,133,0
2016-08-07,66,305,27,191,0
2016-08-08,77,260,17,164,0
2016-08-09,90,341,17,142,0
2016-08-10,76,284,16,153,0
2016-08-11,55,244,19,130,0
2016-08-12,46,270,23,98,0
2016-08-13,37,311,14,120,0
2016-08-14,57,260,34,139,0
2016-08-15,67,394,29,115,0
2016-08-16,70,329,26,104,0
2016-08-17,48,285,14,101,0
2016-08-18,66,245,19,155,0
2016-08-19,64,276,30,119,0
2016-08-20,55,229,17,97,0
2016-08-21,70,267,26,137,0
2016-08-22,63,255,27,131,0
2016-08-23,53,309,26,128,0
2016-08-24,38,272,24,112,0
2016-08-25,58,218,27,115,0
2016-08-26,37,242,32,163,0
2016-08-27,39,251,36,151,0
2016-08-28,33,386,22,140,0
2016-08-29,52,387,43,126,0
2016-08-30,45,336,21,137,0
2016-08-31,52,309,22,142,0
2016-09-01,38,269,28,122,0
2016-09-02,57,264,24,128,0
2016-09-03,37,257,16,90,0
2016-09-04,50,246,19,176,0
