Date,"Apatosaurus","Edward III of England","William Henry Bury","Wood Siding railway station","Here We Go Again (Ray Charles song)","Brabham","Vampire","Zenobia","U.S. Route 113"
2016-05-30,855,2782,30,23,51,280,3735,427,44
2016-05-31,811,2508,30,11,57,253,3486,479,30
2016-06-01,767,2280,29,10,60,187,3643,450,19
2016-06-02,782,2279,29,12,35,189,3384,472,35
2016-06-03,925,2070,32,12,41,174,3363,561,38
2016-06-04,934,2265,24,17,53,208,3427,511,34
2016-06-05,1081,2401,77,11,53,256,3792,443,26
2016-06-06,978,2444,17,8,32,242,3858,500,22
2016-06-07,1041,2372,22,9,45,230,4104,439,23
2016-06-08,868,2187,28,11,43,219,3528,414,23
2016-06-09,853,2597,24,7,28,246,3557,394,17
2016-06-10,883,2107,20,8,45,187,3436,426,25
2016-06-11,861,2175,18,10,29,178,3431,389,35
2016-06-12,953,2705,20,7,40,244,3603,410,37
2016-06-13,823,2274,37,14,56,236,3463,447,33
2016-06-14,798,2287,35,18,51,226,3695,456,48
2016-06-15,829,2655,22,11,48,199,3417,475,20
2016-06-16,804,2350,50,14,39,218,3450,411,44
2016-06-17,776,2094,43,15,47,171,3307,365,32
2016-06-18,1058,2120,33,14,46,230,3216,356,48
2016-06-19,1051,2065,30,12,56,300,3595,368,42
2016-06-20,933,2359,22,10,46,238,3582,417,32
2016-06-21,814,2849,41,13,38,254,3791,442,30
2016-06-22,838,2119,23,7,43,182,3374,450,23
2016-06-23,838,2186,31,9,40,231,3298,405,23
2016-06-24,828,2281,13,7,44,200,3308,387,32
2016-06-25,791,2040,26,10,40,204,3331,425,35
2016-06-26,940,2268,17,9,46,202,4021,549,23
2016-06-27,734,2307,26,14,47,192,3511,470,42
2016-06-28,728,2307,26,14,29,222,3516,487,27
2016-06-29,707,2570,38,10,44,218,3544,464,22
2016-06-30,713,2064,25,9,49,181,3284,495,22
2016-07-01,757,1983,27,9,49,157,3060,399,36
2016-07-02,813,2101,21,16,62,180,3215,432,33
2016-07-03,829,2236,18,10,59,250,3276,447,26
2016-07-04,904,2308,34,8,46,218,3396,403,27
2016-07-05,759,2216,17,10,48,272,3422,437,30
2016-07-06,751,2257,25,6,36,277,3385,408,30
2016-07-07,650,2066,18,9,53,205,3461,444,33
2016-07-08,729,2008,37,12,43,204,3207,433,28
2016-07-09,786,2036,36,13,44,240,3308,409,24
2016-07-10,767,2214,21,11,42,298,3519,412,26
2016-07-11,705,2166,32,11,46,218,3454,433,30
2016-07-12,688,2133,33,13,45,248,3329,410,27
2016-07-13,637,2136,32,10,48,213,3286,410,26
2016-07-14,666,2092,34,7,47,174,3282,459,24
2016-07-15,602,2002,25,6,41,139,3114,375,36
2016-07-16,655,1828,21,10,39,132,2990,381,36
2016-07-17,711,2138,38,9,45,175,3366,398,26
2016-07-18,689,2398,28,7,45,191,3309,401,35
2016-07-19,564,2216,28,7,39,221,3303,553,33
2016-07-20,615,2120,26,9,25,184,3115,452,14
2016-07-21,609,1986,31,12,32,177,3374,407,36
2016-07-22,566,1868,26,17,41,196,3015,407,37
2016-07-23,585,1781,26,10,44,205,2973,327,35
2016-07-24,761,2232,26,12,35,318,3331,363,42
2016-07-25,676,2025,33,18,49,199,3270,387,38
2016-07-26,608,2026,27,15,36,388,3270,348,30
2016-07-27,598,2120,15,8,40,218,2967,365,29
2016-07-28,588,1928,26,18,37,208,3256,396,38
2016-07-29,624,1830,23,18,40,209,3003,319,50
2016-07-30,702,1970,19,9,37,262,3106,351,34
2016-07-31,793,2258,42,13,56,314,3281,412,32
