Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2016-02-05,16,12,20,473,682,48,187,0,41
2016-02-06,14,8,12,459,555,42,134,0,29
2016-02-07,12,8,13,459,574,49,145,0,44
2016-02-08,15,11,18,464,832,58,205,0,38
2016-02-09,16,6,19,607,670,47,242,0,33
2016-02-10,24,7,13,672,725,43,229,0,50
2016-02-11,16,10,17,514,717,60,241,0,32
2016-02-12,23,5,20,498,630,48,193,0,46
2016-02-13,22,6,17,505,479,36,147,0,40
2016-02-14,9,5,10,624,541,39,131,0,23
2016-02-15,27,8,25,497,673,66,231,0,34
2016-02-16,16,10,105,498,767,59,216,0,30
2016-02-17,25,10,14,484,809,45,267,0,37
2016-02-18,22,7,10,496,643,50,230,0,31
2016-02-19,29,1,21,560,737,46,228,0,29
2016-02-20,12,9,9,544,427,44,115,0,36
2016-02-21,14,6,11,545,563,51,170,0,44
2016-02-22,17,8,25,546,751,70,202,0,31
2016-02-23,24,12,20,535,654,55,222,0,34
2016-02-24,20,6,11,480,723,57,185,0,38
2016-02-25,15,6,16,494,668,57,207,0,33
2016-02-26,13,5,19,504,653,60,169,0,28
2016-02-27,23,7,12,448,411,43,133,0,22
2016-02-28,24,6,18,533,598,47,176,0,26
2016-02-29,19,5,16,533,1083,46,193,0,28
2016-03-01,14,2,21,605,759,43,231,0,32
2016-03-02,14,14,14,534,638,49,239,0,24
2016-03-03,13,7,20,557,590,40,194,0,28
2016-03-04,15,6,16,532,534,36,158,0,25
2016-03-05,27,10,19,512,403,58,145,0,32
2016-03-06,37,10,12,512,526,55,114,0,20
2016-03-07,20,7,12,498,669,59,183,0,29
2016-03-08,10,28,18,540,614,53,160,0,28
2016-03-09,22,7,16,486,665,49,179,0,24
2016-03-10,23,6,9,494,562,41,186,0,27
2016-03-11,28,7,14,447,529,41,119,0,22
2016-03-12,19,4,12,439,438,38,144,0,31
2016-03-13,18,7,10,477,415,38,129,0,26
2016-03-14,27,5,11,509,674,49,169,0,24
2016-03-15,28,3,20,491,599,49,153,0,36
2016-03-16,21,17,9,478,825,36,172,0,29
2016-03-17,14,6,12,509,646,42,184,0,22
2016-03-18,12,9,6,450,561,44,171,0,25
2016-03-19,29,8,13,443,418,48,127,0,24
2016-03-20,18,8,11,492,475,43,125,0,19
2016-03-21,10,8,12,468,664,49,158,0,38
2016-03-22,14,12,13,458,605,44,156,0,20
2016-03-23,22,9,7,467,580,41,174,0,18
2016-03-24,12,5,10,462,705,39,141,0,25
2016-03-25,9,7,11,411,580,44,185,0,18
2016-03-26,16,16,10,455,642,49,106,0,32
2016-03-27,30,8,14,570,568,36,110,0,34
2016-03-28,25,13,16,547,632,49,151,0,32
2016-03-29,13,8,7,463,668,44,143,0,32
2016-03-30,32,8,17,429,593,50,118,0,31
2016-03-31,21,15,19,467,617,52,128,0,40
