Date,"Interstate 96","Sea mink","1966 New York City smog","Black vulture","New Worlds (magazine)","38th (Welsh) Infantry Division","Battle of Winterthur","X-Cops (The X-Files)","Josephine Butler"
2016-06-13,100,244,0,307,27,31,1,136,52
2016-06-14,80,285,0,279,38,40,1,103,80
2016-06-15,88,209,0,307,26,32,0,109,44
2016-06-16,95,180,0,295,27,65,1,146,52
2016-06-17,96,171,0,230,19,61,0,113,65
2016-06-18,114,164,0,253,30,37,1,112,42
2016-06-19,99,168,0,336,28,115,0,120,58
2016-06-20,112,142,0,314,28,67,0,127,72
2016-06-21,132,166,0,278,30,52,0,107,55
2016-06-22,126,178,0,266,26,37,0,125,57
2016-06-23,129,148,0,305,19,30,0,104,68
2016-06-24,89,144,0,256,23,34,1,110,57
2016-06-25,85,138,0,278,23,43,0,129,44
2016-06-26,103,183,0,297,21,50,2,126,65
2016-06-27,120,179,0,295,28,43,0,129,63
2016-06-28,80,185,0,257,31,48,0,126,57
2016-06-29,91,200,0,247,17,51,0,158,42
2016-06-30,97,175,0,297,30,133,0,126,57
2016-07-01,93,153,0,361,33,427,1,108,53
2016-07-02,104,173,0,311,17,139,0,110,52
2016-07-03,98,188,0,335,26,149,1,133,48
2016-07-04,115,171,0,372,28,309,0,143,55
2016-07-05,85,214,0,303,25,173,1,138,76
2016-07-06,110,219,0,245,29,119,3,135,73
2016-07-07,122,199,0,248,26,376,1,132,95
2016-07-08,107,157,0,274,21,142,0,138,60
2016-07-09,125,166,0,231,32,111,0,108,64
2016-07-10,116,203,0,290,31,90,0,113,65
2016-07-11,112,158,0,243,39,58,3,144,98
2016-07-12,87,180,0,250,32,52,1,125,70
2016-07-13,93,167,0,249,26,48,0,111,97
2016-07-14,117,177,0,183,27,59,1,131,54
2016-07-15,82,164,0,247,36,38,3,93,49
2016-07-16,132,141,0,242,21,46,2,98,35
2016-07-17,82,174,0,251,29,39,0,112,56
2016-07-18,89,185,0,268,21,39,2,119,71
2016-07-19,103,193,0,229,32,28,0,105,53
2016-07-20,106,169,0,217,15,41,0,101,55
2016-07-21,107,162,0,215,20,50,1,107,58
2016-07-22,77,145,0,208,21,24,1,114,50
2016-07-23,65,163,0,212,22,32,0,99,49
2016-07-24,87,260,0,277,37,45,2,126,33
2016-07-25,108,451,0,225,37,23,0,119,63
2016-07-26,96,220,0,229,33,47,1,136,88
